ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,22.13%,"Array, Backtracking"
40,Combination Sum II,/problems/combination-sum-ii,N,53.3%,Medium,11.09%,"Array, Backtracking"
68,Text Justification,/problems/text-justification,N,36.8%,Hard,8.24%,"Array, String, Simulation"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,3.90%,"Hash Table, String, Sliding Window"
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,N,53.4%,Easy,5.25%,No Topics Found
251,Flatten 2D Vector,/problems/flatten-2d-vector,Y,48.9%,Medium,49.53%,No Topics Found
269,Alien Dictionary,/problems/alien-dictionary,Y,35.3%,Hard,86.47%,No Topics Found
336,Palindrome Pairs,/problems/palindrome-pairs,N,35.2%,Hard,63.06%,"Array, Hash Table, String, Trie"
341,Flatten Nested List Iterator,/problems/flatten-nested-list-iterator,N,61.6%,Medium,17.73%,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,N,38.3%,Hard,8.36%,"Array, Binary Search, Dynamic Programming, Sorting"
432,All O`one Data Structure,/problems/all-oone-data-structure,N,36.7%,Hard,36.95%,"Hash Table, Linked List, Design, Doubly-Linked List"
751,IP to CIDR,/problems/ip-to-cidr,Y,54.7%,Medium,38.39%,No Topics Found
755,Pour Water,/problems/pour-water,Y,46.2%,Medium,100.00%,No Topics Found
773,Sliding Puzzle,/problems/sliding-puzzle,N,63.9%,Hard,67.68%,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
787,Cheapest Flights Within K Stops,/problems/cheapest-flights-within-k-stops,N,35.9%,Medium,36.47%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
864,Shortest Path to Get All Keys,/problems/shortest-path-to-get-all-keys,N,45.4%,Hard,74.84%,"Array, Bit Manipulation, Breadth-First Search, Matrix"
992,Subarrays with K Different Integers,/problems/subarrays-with-k-different-integers,N,54.4%,Hard,11.08%,"Array, Hash Table, Sliding Window, Counting"
1257,Smallest Common Region,/problems/smallest-common-region,Y,64.2%,Medium,31.25%,No Topics Found
1235,Maximum Profit in Job Scheduling,/problems/maximum-profit-in-job-scheduling,N,51.2%,Hard,21.15%,"Array, Binary Search, Dynamic Programming, Sorting"
1166,Design File System,/problems/design-file-system,N,56.8%,Medium,2.72%,No Topics Found
166,Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,N,21.6%,Medium,1.66%,"Hash Table, Math, String"
324,Wiggle Sort II,/problems/wiggle-sort-ii,N,29.9%,Medium,1.30%,"Array, Divide and Conquer, Greedy, Sorting, Quickselect"
875,Koko Eating Bananas,/problems/koko-eating-bananas,N,52.1%,Medium,1.21%,"Array, Binary Search"
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,1.10%,No Topics Found
1,Two Sum,/problems/two-sum,N,45.6%,Easy,1.09%,"Array, Hash Table"
1058,Minimize Rounding Error to Meet Target,/problems/minimize-rounding-error-to-meet-target,N,41.7%,Medium,1.04%,No Topics Found
759,Employee Free Time,/problems/employee-free-time,N,66.2%,Hard,0.92%,No Topics Found
