ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,71.14%,String
124,Binary Tree Maximum Path Sum,/problems/binary-tree-maximum-path-sum,N,38.5%,Hard,11.21%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
227,Basic Calculator II,/problems/basic-calculator-ii,N,42.2%,Medium,28.66%,"Math, String, Stack"
647,Palindromic Substrings,/problems/palindromic-substrings,N,66.4%,Medium,43.24%,"Two Pointers, String, Dynamic Programming"
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,N,53.2%,Medium,72.10%,"Dynamic Programming, Graph, Shortest Path"
1560,Most Visited Sector in a Circular Track,/problems/most-visited-sector-in-a-circular-track,N,58.4%,Easy,100.00%,No Topics Found
713,Subarray Product Less Than K,/problems/subarray-product-less-than-k,N,39.1%,Medium,1.07%,"Array, Binary Search, Sliding Window, Prefix Sum"
1223,Dice Roll Simulation,/problems/dice-roll-simulation,N,45.6%,Medium,0.84%,"Array, Dynamic Programming"
995,Minimum Number of K Consecutive Bit Flips,/problems/minimum-number-of-k-consecutive-bit-flips,N,46.8%,Hard,0.61%,"Array, Bit Manipulation, Queue, Sliding Window, Prefix Sum"
324,Wiggle Sort II,/problems/wiggle-sort-ii,N,29.9%,Medium,0.47%,"Array, Divide and Conquer, Greedy, Sorting, Quickselect"
1411,Number of Ways to Paint N × 3 Grid,/problems/number-of-ways-to-paint-n-3-grid,N,61.1%,Hard,0.36%,Dynamic Programming
1177,Can Make Palindrome from Substring,/problems/can-make-palindrome-from-substring,N,34.6%,Medium,0.25%,"Array, Hash Table, String, Bit Manipulation, Prefix Sum"
1319,Number of Operations to Make Network Connected,/problems/number-of-operations-to-make-network-connected,N,53.1%,Medium,0.10%,"Depth-First Search, Breadth-First Search, Union Find, Graph"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.07%,"String, Stack"
48,Rotate Image,/problems/rotate-image,N,56.7%,Medium,0.04%,"Array, Math, Matrix"
443,String Compression,/problems/string-compression,N,41.3%,Easy,0.03%,"Two Pointers, String"
743,Network Delay Time,/problems/network-delay-time,N,45.0%,Medium,0.03%,No Topics Found
1048,Longest String Chain,/problems/longest-string-chain,N,54.7%,Medium,0.02%,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,50.5%,Easy,0.01%,"Array, Dynamic Programming"
152,Maximum Product Subarray,/problems/maximum-product-subarray,N,31.7%,Medium,0.01%,"Array, Dynamic Programming"
39,Combination Sum,/problems/combination-sum,N,56.1%,Medium,0.01%,"Array, Backtracking"
15,3Sum,/problems/3sum,N,26.8%,Medium,0.00%,"Array, Two Pointers, Sorting"
677,Map Sum Pairs,/problems/map-sum-pairs,N,53.5%,Medium,0.00%,"Hash Table, String, Design, Trie"
740,Delete and Earn,/problems/delete-and-earn,N,48.6%,Medium,0.00%,"Array, Hash Table, Dynamic Programming"
741,Cherry Pickup,/problems/cherry-pickup,N,33.9%,Hard,0.00%,"Array, Dynamic Programming, Matrix"
1425,Constrained Subsequence Sum,/problems/constrained-subsequence-sum,N,44.1%,Hard,0.00%,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
1326,Minimum Number of Taps to Open to Water a Garden,/problems/minimum-number-of-taps-to-open-to-water-a-garden,N,43.6%,Hard,0.00%,"Array, Dynamic Programming, Greedy"
1338,Reduce Array Size to The Half,/problems/reduce-array-size-to-the-half,N,67.0%,Medium,0.00%,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
1370,Increasing Decreasing String,/problems/increasing-decreasing-string,N,75.7%,Easy,0.00%,"Hash Table, String, Counting"
