ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,100.00%,"Hash Table, String, Sliding Window"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,1.84%,"Array, Hash Table"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,1.32%,"Array, Binary Search, Divide and Conquer"
2,Add Two Numbers,/problems/add-two-numbers,N,33.9%,Medium,0.54%,"Linked List, Math, Recursion"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.44%,"Hash Table, Linked List, Design, Doubly-Linked List"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.42%,"Linked List, Recursion"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,29.5%,Medium,0.37%,"Two Pointers, String, Dynamic Programming"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,55.4%,Medium,0.36%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
53,Maximum Subarray,/problems/maximum-subarray,N,46.5%,Easy,0.35%,"Array, Divide and Conquer, Dynamic Programming"
10,Regular Expression Matching,/problems/regular-expression-matching,N,26.8%,Hard,0.30%,"String, Dynamic Programming, Recursion"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.26%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.23%,"Array, Binary Search"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,53.5%,Easy,0.22%,"Linked List, Recursion"
70,Climbing Stairs,/problems/climbing-stairs,N,47.8%,Easy,0.14%,"Math, Dynamic Programming, Memoization"
15,3Sum,/problems/3sum,N,26.8%,Medium,0.13%,"Array, Two Pointers, Sorting"
446,Arithmetic Slices II - Subsequence,/problems/arithmetic-slices-ii-subsequence,N,32.7%,Hard,0.12%,"Array, Dynamic Programming"
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,N,40.6%,Easy,0.09%,No Topics Found
22,Generate Parentheses,/problems/generate-parentheses,N,62.7%,Medium,0.08%,"String, Dynamic Programming, Backtracking"
14,Longest Common Prefix,/problems/longest-common-prefix,N,35.4%,Easy,0.08%,"String, Trie"
460,LFU Cache,/problems/lfu-cache,N,34.2%,Hard,0.07%,"Hash Table, Linked List, Design, Doubly-Linked List"
62,Unique Paths,/problems/unique-paths,N,54.1%,Medium,0.06%,"Math, Dynamic Programming, Combinatorics"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,50.5%,Easy,0.05%,"Array, Dynamic Programming"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.05%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
992,Subarrays with K Different Integers,/problems/subarrays-with-k-different-integers,N,48.6%,Hard,0.04%,"Array, Hash Table, Sliding Window, Counting"
152,Maximum Product Subarray,/problems/maximum-product-subarray,N,31.7%,Medium,0.03%,"Array, Dynamic Programming"
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,43.0%,Hard,0.03%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
678,Valid Parenthesis String,/problems/valid-parenthesis-string,N,31.0%,Medium,0.02%,"String, Dynamic Programming, Stack, Greedy"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.01%,"Array, Sorting"
101,Symmetric Tree,/problems/symmetric-tree,N,46.8%,Easy,0.01%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
94,Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,N,63.3%,Medium,0.01%,"Stack, Tree, Depth-First Search, Binary Tree"
173,Binary Search Tree Iterator,/problems/binary-search-tree-iterator,N,56.6%,Medium,0.01%,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.01%,"String, Stack, Recursion"
666,Path Sum IV,/problems/path-sum-iv,N,54.7%,Medium,0.00%,No Topics Found
548,Split Array with Equal Sum,/problems/split-array-with-equal-sum,N,46.4%,Medium,0.00%,No Topics Found
555,Split Concatenated Strings,/problems/split-concatenated-strings,N,42.2%,Medium,0.00%,No Topics Found
