ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,51.35%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,29.13%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,35.60%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,34.98%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,35.23%,"Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,9.87%,String
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,13.49%,No Topics Found
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,12.14%,String
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,7.96%,Math
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,10.22%,"String, Dynamic Programming, Recursion"
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,22.17%,"Array, Two Pointers, Greedy"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,49.31%,"Hash Table, Math, String"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,34.34%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,21.94%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,23.54%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,16.37%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,49.01%,"Hash Table, String, Backtracking"
18,4Sum,/problems/4sum,N,36.4%,Medium,23.89%,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,7.89%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,33.34%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,15.44%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,32.69%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,60.43%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,N,60.5%,Medium,4.59%,"Linked List, Recursion"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,33.86%,"Linked List, Recursion"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,3.17%,"Array, Two Pointers"
27,Remove Element,/problems/remove-element,N,52.2%,Easy,0.92%,"Array, Two Pointers"
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,5.47%,"Two Pointers, String, String Matching"
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,3.08%,"Math, Bit Manipulation"
30,Substring with Concatenation of All Words,/problems/substring-with-concatenation-of-all-words,N,30.9%,Hard,3.02%,"Hash Table, String, Sliding Window"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,27.61%,"Array, Two Pointers"
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,N,32.7%,Hard,28.91%,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,23.66%,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,23.58%,"Array, Binary Search"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,1.86%,"Array, Binary Search"
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,32.08%,"Array, Hash Table, Matrix"
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,11.20%,"Array, Hash Table, Backtracking, Matrix"
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,16.65%,String
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,11.80%,"Array, Backtracking"
40,Combination Sum II,/problems/combination-sum-ii,N,53.3%,Medium,4.63%,"Array, Backtracking"
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,25.48%,"Array, Hash Table"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,60.70%,No Topics Found
43,Multiply Strings,/problems/multiply-strings,N,38.8%,Medium,1.18%,"Math, String, Simulation"
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,20.69%,"Array, Dynamic Programming, Greedy"
46,Permutations,/problems/permutations,N,74.9%,Medium,22.04%,"Array, Backtracking"
47,Permutations II,/problems/permutations-ii,N,56.8%,Medium,1.80%,"Array, Backtracking"
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,21.57%,"Array, Math, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,53.94%,"Array, Hash Table, String, Sorting"
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,9.84%,"Math, Recursion"
51,N-Queens,/problems/n-queens,N,63.1%,Hard,19.38%,"Array, Backtracking"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,38.74%,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,14.66%,"Array, Matrix, Simulation"
55,Jump Game,/problems/jump-game,N,38.5%,Medium,31.48%,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,41.47%,"Array, Sorting"
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,2.36%,Array
58,Length of Last Word,/problems/length-of-last-word,N,40.8%,Easy,1.15%,String
59,Spiral Matrix II,/problems/spiral-matrix-ii,N,66.7%,Medium,18.76%,"Array, Matrix, Simulation"
60,Permutation Sequence,/problems/permutation-sequence,N,43.8%,Hard,12.44%,"Math, Recursion"
61,Rotate List,/problems/rotate-list,N,35.8%,Medium,6.78%,"Linked List, Two Pointers"
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,24.20%,"Math, Dynamic Programming, Combinatorics"
63,Unique Paths II,/problems/unique-paths-ii,N,39.1%,Medium,28.00%,"Array, Dynamic Programming, Matrix"
64,Minimum Path Sum,/problems/minimum-path-sum,N,60.7%,Medium,13.30%,"Array, Dynamic Programming, Matrix"
65,Valid Number,/problems/valid-number,N,18.6%,Hard,5.23%,String
66,Plus One,/problems/plus-one,N,43.4%,Easy,1.49%,"Array, Math"
67,Add Binary,/problems/add-binary,N,51.4%,Easy,2.96%,No Topics Found
69,Sqrt(x),/problems/sqrtx,N,37.1%,Easy,1.78%,"Math, Binary Search"
70,Climbing Stairs,/problems/climbing-stairs,N,51.8%,Easy,14.60%,"Math, Dynamic Programming, Memoization"
