ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,75.32%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,45.79%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,21.08%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,59.90%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,9.57%,"Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,7.86%,String
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,17.23%,No Topics Found
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,11.35%,String
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,2.77%,Math
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,3.79%,"String, Dynamic Programming, Recursion"
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,16.27%,"Array, Two Pointers, Greedy"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,7.05%,"Hash Table, Math, String"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,80.28%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,47.58%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,41.75%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,13.37%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,9.19%,"Hash Table, String, Backtracking"
18,4Sum,/problems/4sum,N,36.4%,Medium,21.69%,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,14.85%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,5.64%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,19.83%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,24.86%,"String, Dynamic Programming, Backtracking"
