ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,0.85%,"Array, Hash Table, String, Sorting"
153,Find Minimum in Rotated Sorted Array,/problems/find-minimum-in-rotated-sorted-array,N,48.5%,Medium,1.24%,"Array, Binary Search"
353,Design Snake Game,/problems/design-snake-game,Y,39.1%,Medium,85.86%,No Topics Found
359,Logger Rate Limiter,/problems/logger-rate-limiter,Y,75.5%,Easy,15.70%,No Topics Found
441,Arranging Coins,/problems/arranging-coins,N,46.1%,Easy,8.85%,"Math, Binary Search"
692,Top K Frequent Words,/problems/top-k-frequent-words,N,56.9%,Medium,7.59%,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
730,Count Different Palindromic Subsequences,/problems/count-different-palindromic-subsequences,N,44.5%,Hard,41.92%,
757,Set Intersection Size At Least Two,/problems/set-intersection-size-at-least-two,N,43.8%,Hard,92.64%,"Array, Greedy, Sorting"
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,N,53.2%,Medium,41.92%,"Dynamic Programming, Graph, Shortest Path"
1366,Rank Teams by Votes,/problems/rank-teams-by-votes,N,58.6%,Medium,100.00%,"Array, Hash Table, String, Sorting, Counting"
1381,Design a Stack With Increment Operation,/problems/design-a-stack-with-increment-operation,N,77.3%,Medium,19.50%,"Array, Stack, Design"
1639,Number of Ways to Form a Target String Given a Dictionary,/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,N,42.8%,Hard,64.34%,
366,Find Leaves of Binary Tree,/problems/find-leaves-of-binary-tree,N,70.6%,Medium,0.53%,No Topics Found
981,Time Based Key-Value Store,/problems/time-based-key-value-store,N,53.1%,Medium,0.40%,"Hash Table, String, Binary Search, Design"
860,Lemonade Change,/problems/lemonade-change,N,51.6%,Easy,0.40%,"Array, Greedy"
1120,Maximum Average Subtree,/problems/maximum-average-subtree,N,61.9%,Medium,0.27%,No Topics Found
1071,Greatest Common Divisor of Strings,/problems/greatest-common-divisor-of-strings,N,52.9%,Easy,0.26%,"Math, String"
821,Shortest Distance to a Character,/problems/shortest-distance-to-a-character,N,66.9%,Easy,0.24%,"Array, Two Pointers, String"
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,46.8%,Medium,0.22%,"Hash Table, String, Backtracking"
362,Design Hit Counter,/problems/design-hit-counter,N,63.7%,Medium,0.21%,No Topics Found
