ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
124,Binary Tree Maximum Path Sum,/problems/binary-tree-maximum-path-sum,N,38.5%,Hard,50.00%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
395,Longest Substring with At Least K Repeating Characters,/problems/longest-substring-with-at-least-k-repeating-characters,N,44.8%,Medium,0.00%,"Hash Table, String, Divide and Conquer, Sliding Window"
397,Integer Replacement,/problems/integer-replacement,N,35.1%,Medium,0.00%,"Dynamic Programming, Greedy, Bit Manipulation, Memoization"
410,Split Array Largest Sum,/problems/split-array-largest-sum,N,53.3%,Hard,100.00%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
413,Arithmetic Slices,/problems/arithmetic-slices,N,65.1%,Medium,0.00%,"Array, Dynamic Programming, Sliding Window"
446,Arithmetic Slices II - Subsequence,/problems/arithmetic-slices-ii-subsequence,N,39.9%,Hard,0.00%,"Array, Dynamic Programming"
488,Zuma Game,/problems/zuma-game,N,34.6%,Hard,0.00%,No Topics Found
576,Out of Boundary Paths,/problems/out-of-boundary-paths,N,44.3%,Medium,0.00%,Dynamic Programming
588,Design In-Memory File System,/problems/design-in-memory-file-system,Y,48.8%,Hard,0.00%,No Topics Found
873,Length of Longest Fibonacci Subsequence,/problems/length-of-longest-fibonacci-subsequence,N,48.6%,Medium,0.00%,"Array, Hash Table, Dynamic Programming"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.70%,"Array, Hash Table"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.52%,"Hash Table, Linked List, Design, Doubly-Linked List"
72,Edit Distance,/problems/edit-distance,N,44.8%,Hard,0.43%,No Topics Found
2,Add Two Numbers,/problems/add-two-numbers,N,33.9%,Medium,0.42%,"Linked List, Math, Recursion"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.32%,"Array, Binary Search"
871,Minimum Number of Refueling Stops,/problems/minimum-number-of-refueling-stops,N,31.4%,Hard,0.29%,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,30.4%,Medium,0.29%,"Hash Table, String, Sliding Window"
70,Climbing Stairs,/problems/climbing-stairs,N,47.8%,Easy,0.25%,"Math, Dynamic Programming, Memoization"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,55.4%,Medium,0.07%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
88,Merge Sorted Array,/problems/merge-sorted-array,N,39.4%,Easy,0.05%,"Array, Two Pointers, Sorting"
240,Search a 2D Matrix II,/problems/search-a-2d-matrix-ii,N,43.2%,Medium,0.04%,"Array, Binary Search, Divide and Conquer, Matrix"
113,Path Sum II,/problems/path-sum-ii,N,46.7%,Medium,0.04%,"Backtracking, Tree, Depth-First Search, Binary Tree"
91,Decode Ways,/problems/decode-ways,N,24.7%,Medium,0.02%,"String, Dynamic Programming"
15,3Sum,/problems/3sum,N,26.8%,Medium,0.02%,"Array, Two Pointers, Sorting"
543,Diameter of Binary Tree,/problems/diameter-of-binary-tree,N,48.4%,Easy,0.01%,"Tree, Depth-First Search, Binary Tree"
