ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,9.92%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,10.55%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,27.13%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,10.84%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,6.58%,"Two Pointers, String, Dynamic Programming"
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,1.60%,No Topics Found
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,2.51%,String
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,0.93%,Math
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,1.26%,"String, Dynamic Programming, Recursion"
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,1.50%,"Array, Two Pointers, Greedy"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,4.01%,"Hash Table, Math, String"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,6.79%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,0.30%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,5.54%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,2.63%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,0.81%,"Hash Table, String, Backtracking"
18,4Sum,/problems/4sum,N,36.4%,Medium,4.93%,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,1.01%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,10.63%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.56%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,6.41%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,0.91%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,5.74%,"Linked List, Recursion"
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,3.04%,"Two Pointers, String, String Matching"
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,0.95%,"Math, Bit Manipulation"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,7.91%,"Array, Two Pointers"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,9.38%,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,7.23%,"Array, Binary Search"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,0.36%,"Array, Binary Search"
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,0.86%,"Array, Hash Table, Matrix"
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,5.64%,"Array, Hash Table, Backtracking, Matrix"
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,2.46%,String
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,6.00%,"Array, Backtracking"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,25.60%,No Topics Found
44,Wildcard Matching,/problems/wildcard-matching,N,26.8%,Hard,8.49%,"String, Dynamic Programming, Greedy, Recursion"
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,2.30%,"Array, Dynamic Programming, Greedy"
46,Permutations,/problems/permutations,N,74.9%,Medium,1.72%,"Array, Backtracking"
47,Permutations II,/problems/permutations-ii,N,56.8%,Medium,2.07%,"Array, Backtracking"
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,1.66%,"Array, Math, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,4.82%,"Array, Hash Table, String, Sorting"
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,2.80%,"Math, Recursion"
51,N-Queens,/problems/n-queens,N,63.1%,Hard,8.27%,"Array, Backtracking"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,2.03%,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,0.86%,"Array, Matrix, Simulation"
55,Jump Game,/problems/jump-game,N,38.5%,Medium,0.76%,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,40.97%,"Array, Sorting"
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,3.09%,"Math, Dynamic Programming, Combinatorics"
64,Minimum Path Sum,/problems/minimum-path-sum,N,60.7%,Medium,6.37%,"Array, Dynamic Programming, Matrix"
67,Add Binary,/problems/add-binary,N,51.4%,Easy,0.90%,No Topics Found
69,Sqrt(x),/problems/sqrtx,N,37.1%,Easy,2.05%,"Math, Binary Search"
70,Climbing Stairs,/problems/climbing-stairs,N,51.8%,Easy,0.72%,"Math, Dynamic Programming, Memoization"
72,Edit Distance,/problems/edit-distance,N,52.7%,Hard,2.06%,No Topics Found
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,N,50.1%,Medium,3.94%,"Array, Hash Table, Matrix"
74,Search a 2D Matrix,/problems/search-a-2d-matrix,N,47.0%,Medium,3.66%,"Array, Binary Search, Matrix"
75,Sort Colors,/problems/sort-colors,N,57.4%,Medium,0.68%,"Array, Two Pointers, Sorting"
77,Combinations,/problems/combinations,N,66.2%,Medium,2.28%,Backtracking
78,Subsets,/problems/subsets,N,74.0%,Medium,13.24%,"Array, Backtracking, Bit Manipulation"
79,Word Search,/problems/word-search,N,39.8%,Medium,36.93%,"Array, String, Backtracking, Matrix"
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,1.71%,"Array, Stack, Monotonic Stack"
86,Partition List,/problems/partition-list,N,51.4%,Medium,6.77%,"Linked List, Two Pointers"
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,0.44%,"Array, Two Pointers, Sorting"
90,Subsets II,/problems/subsets-ii,N,55.4%,Medium,3.51%,"Array, Backtracking, Bit Manipulation"
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,3.04%,"String, Dynamic Programming"
95,Unique Binary Search Trees II,/problems/unique-binary-search-trees-ii,N,51.6%,Medium,4.51%,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,24.77%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
99,Recover Binary Search Tree,/problems/recover-binary-search-tree,N,50.4%,Medium,8.06%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
101,Symmetric Tree,/problems/symmetric-tree,N,53.0%,Easy,0.75%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
102,Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,N,63.4%,Medium,12.96%,"Tree, Breadth-First Search, Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,16.78%,"Tree, Breadth-First Search, Binary Tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,N,60.8%,Medium,13.24%,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
110,Balanced Binary Tree,/problems/balanced-binary-tree,N,48.3%,Easy,0.78%,"Tree, Depth-First Search, Binary Tree"
113,Path Sum II,/problems/path-sum-ii,N,56.7%,Medium,8.35%,"Backtracking, Tree, Depth-First Search, Binary Tree"
116,Populating Next Right Pointers in Each Node,/problems/populating-next-right-pointers-in-each-node,N,59.5%,Medium,12.08%,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
117,Populating Next Right Pointers in Each Node II,/problems/populating-next-right-pointers-in-each-node-ii,N,49.8%,Medium,24.59%,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
118,Pascal's Triangle,/problems/pascals-triangle,N,69.3%,Easy,7.25%,"Array, Dynamic Programming"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,7.29%,"Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,/problems/best-time-to-buy-and-sell-stock-ii,N,63.4%,Medium,7.95%,"Array, Dynamic Programming, Greedy"
123,Best Time to Buy and Sell Stock III,/problems/best-time-to-buy-and-sell-stock-iii,N,44.9%,Hard,9.82%,"Array, Dynamic Programming"
124,Binary Tree Maximum Path Sum,/problems/binary-tree-maximum-path-sum,N,38.5%,Hard,1.33%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
125,Valid Palindrome,/problems/valid-palindrome,N,43.7%,Easy,0.41%,"Two Pointers, String"
126,Word Ladder II,/problems/word-ladder-ii,N,27.6%,Hard,5.29%,"Hash Table, String, Backtracking, Breadth-First Search"
127,Word Ladder,/problems/word-ladder,N,36.7%,Hard,7.03%,"Hash Table, String, Breadth-First Search"
128,Longest Consecutive Sequence,/problems/longest-consecutive-sequence,N,48.9%,Medium,6.23%,"Array, Hash Table, Union Find"
131,Palindrome Partitioning,/problems/palindrome-partitioning,N,62.5%,Medium,7.57%,"String, Dynamic Programming, Backtracking"
133,Clone Graph,/problems/clone-graph,N,50.8%,Medium,1.60%,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
134,Gas Station,/problems/gas-station,N,45.1%,Medium,14.89%,"Array, Greedy"
135,Candy,/problems/candy,N,40.8%,Hard,10.32%,"Array, Greedy"
138,Copy List with Random Pointer,/problems/copy-list-with-random-pointer,N,50.6%,Medium,17.00%,"Hash Table, Linked List"
139,Word Break,/problems/word-break,N,45.5%,Medium,17.57%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
140,Word Break II,/problems/word-break-ii,N,44.6%,Hard,61.46%,No Topics Found
141,Linked List Cycle,/problems/linked-list-cycle,N,46.9%,Easy,0.47%,"Hash Table, Linked List, Two Pointers"
143,Reorder List,/problems/reorder-list,N,51.2%,Medium,1.54%,"Linked List, Two Pointers, Stack, Recursion"
145,Binary Tree Postorder Traversal,/problems/binary-tree-postorder-traversal,N,66.8%,Easy,1.10%,"Stack, Tree, Depth-First Search, Binary Tree"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,36.59%,"Hash Table, Linked List, Design, Doubly-Linked List"
151,Reverse Words in a String,/problems/reverse-words-in-a-string,N,31.8%,Medium,1.15%,"Two Pointers, String"
153,Find Minimum in Rotated Sorted Array,/problems/find-minimum-in-rotated-sorted-array,N,48.5%,Medium,0.87%,"Array, Binary Search"
155,Min Stack,/problems/min-stack,N,51.9%,Medium,9.94%,"Stack, Design"
159,Longest Substring with At Most Two Distinct Characters,/problems/longest-substring-with-at-most-two-distinct-characters,Y,53.5%,Medium,17.72%,No Topics Found
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,N,53.4%,Easy,0.99%,No Topics Found
162,Find Peak Element,/problems/find-peak-element,N,46.2%,Medium,1.13%,"Array, Binary Search"
167,Two Sum II - Input Array Is Sorted,/problems/two-sum-ii-input-array-is-sorted,N,60.0%,Medium,2.70%,"Array, Two Pointers, Binary Search"
169,Majority Element,/problems/majority-element,N,63.9%,Easy,2.19%,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
174,Dungeon Game,/problems/dungeon-game,N,37.3%,Hard,7.08%,"Array, Dynamic Programming, Matrix"
179,Largest Number,/problems/largest-number,N,34.1%,Medium,5.82%,"Array, String, Greedy, Sorting"
181,Employees Earning More Than Their Managers,/problems/employees-earning-more-than-their-managers,N,68.6%,Easy,1.81%,Database
183,Customers Who Never Order,/problems/customers-who-never-order,N,68.1%,Easy,1.74%,Database
191,Number of 1 Bits,/problems/number-of-1-bits,N,65.0%,Easy,0.79%,"Divide and Conquer, Bit Manipulation"
198,House Robber,/problems/house-robber,N,48.8%,Medium,11.98%,"Array, Dynamic Programming"
199,Binary Tree Right Side View,/problems/binary-tree-right-side-view,N,61.2%,Medium,7.36%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,44.81%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
202,Happy Number,/problems/happy-number,N,54.4%,Easy,0.56%,"Hash Table, Math, Two Pointers"
203,Remove Linked List Elements,/problems/remove-linked-list-elements,N,44.9%,Easy,0.99%,"Linked List, Recursion"
206,Reverse Linked List,/problems/reverse-linked-list,N,72.5%,Easy,1.09%,"Linked List, Recursion"
212,Word Search II,/problems/word-search-ii,N,36.9%,Hard,11.16%,"Array, String, Backtracking, Trie, Matrix"
213,House Robber II,/problems/house-robber-ii,N,40.7%,Medium,1.50%,"Array, Dynamic Programming"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,65.8%,Medium,2.07%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
217,Contains Duplicate,/problems/contains-duplicate,N,61.3%,Easy,5.71%,"Array, Hash Table, Sorting"
