ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,21.46%,"Array, Sorting"
221,Maximal Square,/problems/maximal-square,N,44.6%,Medium,25.40%,"Array, Dynamic Programming, Matrix"
399,Evaluate Division,/problems/evaluate-division,N,59.6%,Medium,100.00%,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
844,Backspace String Compare,/problems/backspace-string-compare,N,48.0%,Easy,15.35%,"Two Pointers, String, Stack, Simulation"
1481,Least Number of Unique Integers after K Removals,/problems/least-number-of-unique-integers-after-k-removals,N,57.0%,Medium,62.70%,"Array, Hash Table, Greedy, Sorting, Counting"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.05%,"Array, Hash Table, String, Sorting"
253,Meeting Rooms II,/problems/meeting-rooms-ii,N,45.7%,Medium,0.03%,No Topics Found
362,Design Hit Counter,/problems/design-hit-counter,N,63.7%,Medium,0.03%,No Topics Found
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.01%,"Array, Hash Table"
140,Word Break II,/problems/word-break-ii,N,32.6%,Hard,0.01%,No Topics Found
