ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,3.33%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,3.67%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,6.48%,"Linked List, Recursion"
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,3.09%,"Array, Backtracking"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,2.57%,"Array, Sorting"
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,5.07%,Array
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,4.14%,"Hash Table, Linked List, Design, Doubly-Linked List"
163,Missing Ranges,/problems/missing-ranges,Y,32.0%,Easy,44.43%,No Topics Found
207,Course Schedule,/problems/course-schedule,N,45.4%,Medium,7.51%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
210,Course Schedule II,/problems/course-schedule-ii,N,48.0%,Medium,11.65%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
224,Basic Calculator,/problems/basic-calculator,N,41.2%,Hard,23.58%,"Math, String, Stack, Recursion"
333,Largest BST Subtree,/problems/largest-bst-subtree,Y,42.5%,Medium,70.14%,No Topics Found
347,Top K Frequent Elements,/problems/top-k-frequent-elements,N,64.8%,Medium,3.05%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,N,38.3%,Hard,23.79%,"Array, Binary Search, Dynamic Programming, Sorting"
394,Decode String,/problems/decode-string,N,57.6%,Medium,23.58%,"String, Stack, Recursion"
695,Max Area of Island,/problems/max-area-of-island,N,71.7%,Medium,6.36%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
722,Remove Comments,/problems/remove-comments,N,38.0%,Medium,56.09%,
739,Daily Temperatures,/problems/daily-temperatures,N,66.6%,Medium,7.07%,"Array, Stack, Monotonic Stack"
854,K-Similar Strings,/problems/k-similar-strings,N,40.2%,Hard,73.54%,No Topics Found
1031,Maximum Sum of Two Non-Overlapping Subarrays,/problems/maximum-sum-of-two-non-overlapping-subarrays,N,59.4%,Medium,51.46%,"Array, Dynamic Programming, Sliding Window"
1444,Number of Ways of Cutting a Pizza,/problems/number-of-ways-of-cutting-a-pizza,N,58.0%,Hard,100.00%,"Array, Dynamic Programming, Memoization, Matrix"
1824,Minimum Sideway Jumps,/problems/minimum-sideway-jumps,N,49.6%,Medium,79.36%,"Array, Dynamic Programming, Greedy"
440,K-th Smallest in Lexicographical Order,/problems/k-th-smallest-in-lexicographical-order,N,29.1%,Hard,0.63%,Trie
465,Optimal Account Balancing,/problems/optimal-account-balancing,N,46.9%,Hard,0.57%,No Topics Found
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.56%,No Topics Found
493,Reverse Pairs,/problems/reverse-pairs,N,25.2%,Hard,0.51%,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
351,Android Unlock Patterns,/problems/android-unlock-patterns,N,48.4%,Medium,0.49%,No Topics Found
407,Trapping Rain Water II,/problems/trapping-rain-water-ii,N,42.4%,Hard,0.45%,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
726,Number of Atoms,/problems/number-of-atoms,N,49.0%,Hard,0.44%,"Hash Table, String, Stack, Sorting"
403,Frog Jump,/problems/frog-jump,N,39.7%,Hard,0.41%,"Array, Dynamic Programming"
777,Swap Adjacent in LR String,/problems/swap-adjacent-in-lr-string,N,34.8%,Medium,0.39%,"Two Pointers, String"
470,Implement Rand10() Using Rand7(),/problems/implement-rand10-using-rand7,N,46.3%,Medium,0.35%,"Math, Rejection Sampling, Randomized, Probability and Statistics"
1202,Smallest String With Swaps,/problems/smallest-string-with-swaps,N,46.5%,Medium,0.32%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
1262,Greatest Sum Divisible by Three,/problems/greatest-sum-divisible-by-three,N,47.6%,Medium,0.32%,"Array, Dynamic Programming, Greedy, Sorting"
1172,Dinner Plate Stacks,/problems/dinner-plate-stacks,N,38.2%,Hard,0.27%,"Hash Table, Stack, Design, Heap (Priority Queue)"
1057,Campus Bikes,/problems/campus-bikes,N,57.7%,Medium,0.26%,No Topics Found
31,Next Permutation,/problems/next-permutation,N,32.6%,Medium,0.26%,"Array, Two Pointers"
670,Maximum Swap,/problems/maximum-swap,N,43.6%,Medium,0.23%,"Math, Greedy"
143,Reorder List,/problems/reorder-list,N,37.1%,Medium,0.21%,"Linked List, Two Pointers, Stack, Recursion"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.19%,"Array, Binary Search"
681,Next Closest Time,/problems/next-closest-time,N,45.0%,Medium,0.19%,No Topics Found
445,Add Two Numbers II,/problems/add-two-numbers-ii,N,54.5%,Medium,0.18%,"Linked List, Math, Stack"
1283,Find the Smallest Divisor Given a Threshold,/problems/find-the-smallest-divisor-given-a-threshold,N,47.6%,Medium,0.18%,"Array, Binary Search"
1235,Maximum Profit in Job Scheduling,/problems/maximum-profit-in-job-scheduling,N,44.0%,Hard,0.15%,"Array, Binary Search, Dynamic Programming, Sorting"
317,Shortest Distance from All Buildings,/problems/shortest-distance-from-all-buildings,N,41.4%,Hard,0.14%,No Topics Found
51,N-Queens,/problems/n-queens,N,46.6%,Hard,0.14%,"Array, Backtracking"
449,Serialize and Deserialize BST,/problems/serialize-and-deserialize-bst,N,52.0%,Medium,0.13%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Search Tree, Binary Tree"
316,Remove Duplicate Letters,/problems/remove-duplicate-letters,N,35.8%,Hard,0.12%,"String, Stack, Greedy, Monotonic Stack"
240,Search a 2D Matrix II,/problems/search-a-2d-matrix-ii,N,43.2%,Medium,0.11%,"Array, Binary Search, Divide and Conquer, Matrix"
329,Longest Increasing Path in a Matrix,/problems/longest-increasing-path-in-a-matrix,N,43.4%,Hard,0.11%,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,55.4%,Medium,0.11%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
199,Binary Tree Right Side View,/problems/binary-tree-right-side-view,N,54.1%,Medium,0.11%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
