ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,0.36%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,1.22%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,0.39%,"Hash Table, String, Sliding Window"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,10.41%,"Two Pointers, String, Dynamic Programming"
15,3Sum,/problems/3sum,N,32.3%,Medium,0.61%,"Array, Two Pointers, Sorting"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,0.42%,"String, Stack"
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,4.77%,String
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,44.62%,"Array, Math, Matrix"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,11.55%,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,3.64%,"Array, Matrix, Simulation"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,1.23%,"Array, Sorting"
79,Word Search,/problems/word-search,N,39.8%,Medium,28.46%,"Array, String, Backtracking, Matrix"
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,3.31%,"Array, Stack, Monotonic Stack"
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,35.20%,"String, Dynamic Programming"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,2.85%,"Array, Dynamic Programming"
141,Linked List Cycle,/problems/linked-list-cycle,N,46.9%,Easy,0.90%,"Hash Table, Linked List, Two Pointers"
198,House Robber,/problems/house-robber,N,48.8%,Medium,40.58%,"Array, Dynamic Programming"
212,Word Search II,/problems/word-search-ii,N,36.9%,Hard,74.66%,"Array, String, Backtracking, Trie, Matrix"
312,Burst Balloons,/problems/burst-balloons,N,56.8%,Hard,49.10%,No Topics Found
412,Fizz Buzz,/problems/fizz-buzz,N,68.9%,Easy,1.35%,"Math, String, Simulation"
468,Validate IP Address,/problems/validate-ip-address,N,26.5%,Medium,100.00%,String
691,Stickers to Spell Word,/problems/stickers-to-spell-word,N,46.3%,Hard,45.34%,"Array, String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
809,Expressive Words,/problems/expressive-words,N,46.3%,Medium,49.32%,"Array, Two Pointers, String"
1209,Remove All Adjacent Duplicates in String II,/problems/remove-all-adjacent-duplicates-in-string-ii,N,56.0%,Medium,7.30%,"String, Stack"
2016,Maximum Difference Between Increasing Elements,/problems/maximum-difference-between-increasing-elements,N,53.5%,Easy,48.54%,Array
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.51%,"Linked List, Recursion"
1235,Maximum Profit in Job Scheduling,/problems/maximum-profit-in-job-scheduling,N,44.0%,Hard,0.41%,"Array, Binary Search, Dynamic Programming, Sorting"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.29%,"Hash Table, Linked List, Design, Doubly-Linked List"
1290,Convert Binary Number in a Linked List to Integer,/problems/convert-binary-number-in-a-linked-list-to-integer,N,80.4%,Easy,0.28%,"Linked List, Math"
909,Snakes and Ladders,/problems/snakes-and-ladders,N,38.4%,Medium,0.22%,"Array, Breadth-First Search, Matrix"
344,Reverse String,/problems/reverse-string,N,68.5%,Easy,0.21%,"Two Pointers, String"
246,Strobogrammatic Number,/problems/strobogrammatic-number,N,45.0%,Easy,0.19%,No Topics Found
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.19%,"String, Stack, Recursion"
235,Lowest Common Ancestor of a Binary Search Tree,/problems/lowest-common-ancestor-of-a-binary-search-tree,N,49.9%,Easy,0.15%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
191,Number of 1 Bits,/problems/number-of-1-bits,N,49.8%,Easy,0.14%,"Divide and Conquer, Bit Manipulation"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,42.1%,Hard,0.12%,"Linked List, Recursion"
247,Strobogrammatic Number II,/problems/strobogrammatic-number-ii,N,47.6%,Medium,0.10%,No Topics Found
88,Merge Sorted Array,/problems/merge-sorted-array,N,39.4%,Easy,0.10%,"Array, Two Pointers, Sorting"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.10%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
905,Sort Array By Parity,/problems/sort-array-by-parity,N,74.1%,Easy,0.08%,"Array, Two Pointers, Sorting"
143,Reorder List,/problems/reorder-list,N,37.1%,Medium,0.07%,"Linked List, Two Pointers, Stack, Recursion"
237,Delete Node in a Linked List,/problems/delete-node-in-a-linked-list,N,63.8%,Easy,0.06%,Linked List
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,N,40.6%,Easy,0.06%,No Topics Found
14,Longest Common Prefix,/problems/longest-common-prefix,N,35.4%,Easy,0.05%,"String, Trie"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.05%,"Array, Binary Search"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.05%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
445,Add Two Numbers II,/problems/add-two-numbers-ii,N,54.5%,Medium,0.05%,"Linked List, Math, Stack"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,45.1%,Easy,0.05%,"Array, Two Pointers"
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,15.4%,Medium,0.05%,String
102,Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,N,54.6%,Medium,0.04%,"Tree, Breadth-First Search, Binary Tree"
241,Different Ways to Add Parentheses,/problems/different-ways-to-add-parentheses,N,55.2%,Medium,0.04%,"Math, String, Dynamic Programming, Recursion, Memoization"
628,Maximum Product of Three Numbers,/problems/maximum-product-of-three-numbers,N,47.1%,Easy,0.04%,"Array, Math, Sorting"
242,Valid Anagram,/problems/valid-anagram,N,56.9%,Easy,0.04%,"Hash Table, String, Sorting"
189,Rotate Array,/problems/rotate-array,N,34.7%,Easy,0.04%,"Array, Math, Two Pointers"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,53.5%,Easy,0.04%,"Linked List, Recursion"
