ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
139,Word Break,/problems/word-break,N,45.5%,Medium,100.00%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,50.00%,"Hash Table, Linked List, Design, Doubly-Linked List"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,42.1%,Hard,0.05%,"Linked List, Recursion"
76,Minimum Window Substring,/problems/minimum-window-substring,N,34.6%,Hard,0.04%,"Hash Table, String, Sliding Window"
845,Longest Mountain in Array,/problems/longest-mountain-in-array,N,37.2%,Medium,0.04%,"Array, Two Pointers, Dynamic Programming, Enumeration"
269,Alien Dictionary,/problems/alien-dictionary,N,33.3%,Hard,0.03%,No Topics Found
166,Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,N,21.6%,Medium,0.02%,"Hash Table, Math, String"
207,Course Schedule,/problems/course-schedule,N,43.1%,Medium,0.01%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.01%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
127,Word Ladder,/problems/word-ladder,N,29.6%,Medium,0.01%,"Hash Table, String, Breadth-First Search"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.00%,"Array, Sorting"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.00%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
283,Move Zeroes,/problems/move-zeroes,N,57.8%,Easy,0.00%,"Array, Two Pointers"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,45.1%,Easy,0.00%,"Array, Two Pointers"
