ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,3.43%,"Hash Table, String, Backtracking"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,4.43%,"Array, Two Pointers"
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,4.85%,"Array, Hash Table"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,1.43%,"Array, Divide and Conquer, Dynamic Programming"
120,Triangle,/problems/triangle,N,54.0%,Medium,9.75%,"Array, Dynamic Programming"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,1.02%,"Array, Dynamic Programming"
238,Product of Array Except Self,/problems/product-of-array-except-self,N,64.7%,Medium,2.48%,"Array, Prefix Sum"
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,52.0%,Medium,9.81%,"Array, Hash Table, Math, Design, Randomized"
695,Max Area of Island,/problems/max-area-of-island,N,71.7%,Medium,23.85%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
1000,Minimum Cost to Merge Stones,/problems/minimum-cost-to-merge-stones,N,42.3%,Hard,100.00%,"Array, Dynamic Programming, Prefix Sum"
1004,Max Consecutive Ones III,/problems/max-consecutive-ones-iii,N,63.4%,Medium,22.63%,"Array, Binary Search, Sliding Window, Prefix Sum"
1537,Get the Maximum Score,/problems/get-the-maximum-score,N,39.3%,Hard,61.92%,"Array, Two Pointers, Dynamic Programming, Greedy"
1358,Number of Substrings Containing All Three Characters,/problems/number-of-substrings-containing-all-three-characters,N,58.2%,Medium,0.29%,"Hash Table, String, Sliding Window"
1122,Relative Sort Array,/problems/relative-sort-array,N,67.7%,Easy,0.00%,"Array, Hash Table, Sorting, Counting Sort"
1262,Greatest Sum Divisible by Three,/problems/greatest-sum-divisible-by-three,N,47.6%,Medium,0.00%,"Array, Dynamic Programming, Greedy, Sorting"
