ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,4.54%,"Hash Table, String, Sliding Window"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,17.70%,"Array, Divide and Conquer, Dynamic Programming"
55,Jump Game,/problems/jump-game,N,38.5%,Medium,16.77%,"Array, Dynamic Programming, Greedy"
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,34.96%,"Tree, Breadth-First Search, Binary Tree"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,22.67%,"Hash Table, Linked List, Design, Doubly-Linked List"
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,68.40%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
208,Implement Trie (Prefix Tree),/problems/implement-trie-prefix-tree,N,61.0%,Medium,36.80%,"Hash Table, String, Design, Trie"
232,Implement Queue using Stacks,/problems/implement-queue-using-stacks,N,61.3%,Easy,32.96%,"Stack, Design, Queue"
529,Minesweeper,/problems/minesweeper,N,65.5%,Medium,100.00%,"Array, Depth-First Search, Breadth-First Search, Matrix"
836,Rectangle Overlap,/problems/rectangle-overlap,N,43.6%,Easy,9.32%,"Math, Geometry"
92,Reverse Linked List II,/problems/reverse-linked-list-ii,N,38.8%,Medium,0.06%,Linked List
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.06%,"Array, Hash Table, String, Sorting"
71,Simplify Path,/problems/simplify-path,N,32.6%,Medium,0.04%,"String, Stack"
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,N,43.1%,Medium,0.03%,"Array, Hash Table, Matrix"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.01%,"Linked List, Recursion"
242,Valid Anagram,/problems/valid-anagram,N,56.9%,Easy,0.00%,"Hash Table, String, Sorting"
2,Add Two Numbers,/problems/add-two-numbers,N,33.9%,Medium,0.00%,"Linked List, Math, Recursion"
79,Word Search,/problems/word-search,N,35.6%,Medium,0.00%,"Array, String, Backtracking, Matrix"
