ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
135,Candy,/problems/candy,N,40.8%,Hard,8.90%,"Array, Greedy"
379,Design Phone Directory,/problems/design-phone-directory,Y,51.0%,Medium,49.70%,No Topics Found
609,Find Duplicate File in System,/problems/find-duplicate-file-in-system,N,67.8%,Medium,60.84%,"Array, Hash Table, String"
695,Max Area of Island,/problems/max-area-of-island,N,71.7%,Medium,10.55%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
2296,Design a Text Editor,/problems/design-a-text-editor,N,39.9%,Hard,100.00%,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
289,Game of Life,/problems/game-of-life,N,54.5%,Medium,4.95%,"Array, Matrix, Simulation"
924,Minimize Malware Spread,/problems/minimize-malware-spread,N,42.0%,Hard,4.06%,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
291,Word Pattern II,/problems/word-pattern-ii,N,43.4%,Hard,3.08%,No Topics Found
362,Design Hit Counter,/problems/design-hit-counter,N,63.7%,Medium,2.72%,No Topics Found
928,Minimize Malware Spread II,/problems/minimize-malware-spread-ii,N,40.5%,Hard,1.83%,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
1242,Web Crawler Multithreaded,/problems/web-crawler-multithreaded,N,45.9%,Medium,1.77%,No Topics Found
1178,Number of Valid Words for Each Puzzle,/problems/number-of-valid-words-for-each-puzzle,N,37.8%,Hard,1.08%,"Array, Hash Table, String, Bit Manipulation, Trie"
1001,Grid Illumination,/problems/grid-illumination,N,35.9%,Hard,1.05%,"Array, Hash Table"
642,Design Search Autocomplete System,/problems/design-search-autocomplete-system,N,44.7%,Hard,0.95%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,46.8%,Medium,0.82%,"Hash Table, String, Backtracking"
290,Word Pattern,/problems/word-pattern,N,37.0%,Easy,0.38%,"Hash Table, String"
1236,Web Crawler,/problems/web-crawler,N,64.3%,Medium,0.34%,No Topics Found
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.32%,"Hash Table, Linked List, Design, Doubly-Linked List"
1010,Pairs of Songs With Total Durations Divisible by 60,/problems/pairs-of-songs-with-total-durations-divisible-by-60,N,47.4%,Easy,0.09%,"Array, Hash Table, Counting"
140,Word Break II,/problems/word-break-ii,N,32.6%,Hard,0.08%,No Topics Found
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.02%,"Array, Hash Table"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.02%,"Array, Binary Search, Divide and Conquer"
64,Minimum Path Sum,/problems/minimum-path-sum,N,54.5%,Medium,0.01%,"Array, Dynamic Programming, Matrix"
28,Implement strStr(),/problems/implement-strstr,N,34.5%,Easy,0.01%,"Two Pointers, String, String Matching"
1250,Check If It Is a Good Array,/problems/check-if-it-is-a-good-array,N,55.7%,Hard,0.00%,No Topics Found
