ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,0.70%,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,6.73%,"Hash Table, String, Sliding Window"
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,6.98%,"Hash Table, String, Backtracking"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,3.90%,"Linked List, Two Pointers"
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,14.40%,"Array, Backtracking"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,19.64%,"Array, Hash Table, String, Sorting"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,5.45%,"Array, Sorting"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,2.09%,"Array, Dynamic Programming"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,8.78%,"Hash Table, Linked List, Design, Doubly-Linked List"
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,4.66%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
253,Meeting Rooms II,/problems/meeting-rooms-ii,Y,50.5%,Medium,16.59%,No Topics Found
353,Design Snake Game,/problems/design-snake-game,Y,39.1%,Medium,100.00%,No Topics Found
875,Koko Eating Bananas,/problems/koko-eating-bananas,N,52.2%,Medium,19.40%,"Array, Binary Search"
1381,Design a Stack With Increment Operation,/problems/design-a-stack-with-increment-operation,N,77.3%,Medium,61.92%,"Array, Stack, Design"
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,N,48.0%,Medium,57.71%,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
545,Boundary of Binary Tree,/problems/boundary-of-binary-tree,N,38.9%,Medium,0.44%,No Topics Found
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.31%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
51,N-Queens,/problems/n-queens,N,46.6%,Hard,0.23%,"Array, Backtracking"
54,Spiral Matrix,/problems/spiral-matrix,N,34.1%,Medium,0.21%,"Array, Matrix, Simulation"
138,Copy List with Random Pointer,/problems/copy-list-with-random-pointer,N,36.4%,Medium,0.17%,"Hash Table, Linked List"
846,Hand of Straights,/problems/hand-of-straights,N,54.2%,Medium,0.17%,"Array, Hash Table, Greedy, Sorting"
283,Move Zeroes,/problems/move-zeroes,N,57.8%,Easy,0.17%,"Array, Two Pointers"
15,3Sum,/problems/3sum,N,26.8%,Medium,0.16%,"Array, Two Pointers, Sorting"
498,Diagonal Traverse,/problems/diagonal-traverse,N,48.2%,Medium,0.16%,"Array, Matrix, Simulation"
199,Binary Tree Right Side View,/problems/binary-tree-right-side-view,N,54.1%,Medium,0.16%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,55.4%,Medium,0.15%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
227,Basic Calculator II,/problems/basic-calculator-ii,N,36.9%,Medium,0.14%,"Math, String, Stack"
702,Search in a Sorted Array of Unknown Size,/problems/search-in-a-sorted-array-of-unknown-size,N,66.9%,Medium,0.14%,No Topics Found
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.14%,"String, Stack"
428,Serialize and Deserialize N-ary Tree,/problems/serialize-and-deserialize-n-ary-tree,N,59.4%,Hard,0.13%,No Topics Found
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.13%,"Array, Binary Search, Divide and Conquer"
139,Word Break,/problems/word-break,N,40.1%,Medium,0.13%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
344,Reverse String,/problems/reverse-string,N,68.5%,Easy,0.13%,"Two Pointers, String"
968,Binary Tree Cameras,/problems/binary-tree-cameras,N,37.5%,Hard,0.13%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,29.5%,Medium,0.12%,"Two Pointers, String, Dynamic Programming"
366,Find Leaves of Binary Tree,/problems/find-leaves-of-binary-tree,N,70.6%,Medium,0.12%,No Topics Found
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.11%,"Array, Binary Search"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.11%,"Linked List, Recursion"
295,Find Median from Data Stream,/problems/find-median-from-data-stream,N,44.3%,Hard,0.11%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
796,Rotate String,/problems/rotate-string,N,49.6%,Easy,0.10%,"String, String Matching"
130,Surrounded Regions,/problems/surrounded-regions,N,28.1%,Medium,0.10%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
141,Linked List Cycle,/problems/linked-list-cycle,N,41.1%,Easy,0.10%,"Hash Table, Linked List, Two Pointers"
143,Reorder List,/problems/reorder-list,N,37.1%,Medium,0.10%,"Linked List, Two Pointers, Stack, Recursion"
358,Rearrange String k Distance Apart,/problems/rearrange-string-k-distance-apart,N,34.9%,Hard,0.09%,No Topics Found
449,Serialize and Deserialize BST,/problems/serialize-and-deserialize-bst,N,52.0%,Medium,0.09%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Search Tree, Binary Tree"
443,String Compression,/problems/string-compression,N,41.3%,Easy,0.08%,"Two Pointers, String"
703,Kth Largest Element in a Stream,/problems/kth-largest-element-in-a-stream,N,49.7%,Easy,0.08%,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
962,Maximum Width Ramp,/problems/maximum-width-ramp,N,45.4%,Medium,0.08%,No Topics Found
250,Count Univalue Subtrees,/problems/count-univalue-subtrees,N,52.0%,Medium,0.08%,No Topics Found
