ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,2.44%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,2.74%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,1.10%,"Hash Table, String, Sliding Window"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,1.65%,"String, Trie"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.43%,"Linked List, Recursion"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,5.68%,"Array, Hash Table, String, Sorting"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,1.88%,"Array, Divide and Conquer, Dynamic Programming"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,6.02%,"Array, Sorting"
152,Maximum Product Subarray,/problems/maximum-product-subarray,N,34.9%,Medium,2.16%,"Array, Dynamic Programming"
155,Min Stack,/problems/min-stack,N,51.9%,Medium,9.47%,"Stack, Design"
230,Kth Smallest Element in a BST,/problems/kth-smallest-element-in-a-bst,N,69.4%,Medium,6.39%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
336,Palindrome Pairs,/problems/palindrome-pairs,N,35.2%,Hard,100.00%,"Array, Hash Table, String, Trie"
416,Partition Equal Subset Sum,/problems/partition-equal-subset-sum,N,46.6%,Medium,14.42%,"Array, Dynamic Programming"
443,String Compression,/problems/string-compression,N,48.9%,Medium,9.80%,"Two Pointers, String"
455,Assign Cookies,/problems/assign-cookies,N,50.5%,Easy,51.54%,"Array, Two Pointers, Greedy, Sorting"
468,Validate IP Address,/problems/validate-ip-address,N,26.5%,Medium,20.32%,String
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,44.0%,Medium,10.54%,"Array, Hash Table, Prefix Sum"
695,Max Area of Island,/problems/max-area-of-island,N,71.7%,Medium,3.90%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
992,Subarrays with K Different Integers,/problems/subarrays-with-k-different-integers,N,54.4%,Hard,36.12%,"Array, Hash Table, Sliding Window, Counting"
1010,Pairs of Songs With Total Durations Divisible by 60,/problems/pairs-of-songs-with-total-durations-divisible-by-60,N,52.9%,Medium,27.99%,"Array, Hash Table, Counting"
1197,Minimum Knight Moves,/problems/minimum-knight-moves,Y,39.7%,Medium,31.54%,No Topics Found
1094,Car Pooling,/problems/car-pooling,N,57.3%,Medium,17.74%,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
1200,Minimum Absolute Difference,/problems/minimum-absolute-difference,N,69.7%,Easy,14.27%,"Array, Sorting"
1326,Minimum Number of Taps to Open to Water a Garden,/problems/minimum-number-of-taps-to-open-to-water-a-garden,N,47.7%,Hard,70.87%,"Array, Dynamic Programming, Greedy"
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,N,53.2%,Medium,90.19%,"Dynamic Programming, Graph, Shortest Path"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.53%,"String, Stack"
974,Subarray Sums Divisible by K,/problems/subarray-sums-divisible-by-k,N,48.9%,Medium,0.45%,"Array, Hash Table, Prefix Sum"
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,N,43.1%,Medium,0.37%,"Array, Hash Table, Matrix"
1283,Find the Smallest Divisor Given a Threshold,/problems/find-the-smallest-divisor-given-a-threshold,N,47.6%,Medium,0.37%,"Array, Binary Search"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.26%,"Array, Binary Search"
295,Find Median from Data Stream,/problems/find-median-from-data-stream,N,44.3%,Hard,0.24%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
37,Sudoku Solver,/problems/sudoku-solver,N,43.6%,Hard,0.20%,"Array, Hash Table, Backtracking, Matrix"
