ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,6.75%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,3.43%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,3.17%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,1.12%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,2.43%,"Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,1.29%,String
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,0.44%,No Topics Found
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,0.70%,String
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,0.25%,Math
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,2.93%,"String, Dynamic Programming, Recursion"
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,0.92%,"Array, Two Pointers, Greedy"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,4.29%,"Hash Table, Math, String"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,7.27%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,2.71%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,5.93%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,9.55%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,4.93%,"Hash Table, String, Backtracking"
18,4Sum,/problems/4sum,N,36.4%,Medium,5.27%,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,6.70%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,7.12%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,2.36%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,0.88%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,9.63%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,0.77%,"Array, Two Pointers"
27,Remove Element,/problems/remove-element,N,52.2%,Easy,0.51%,"Array, Two Pointers"
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,1.01%,"Math, Bit Manipulation"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,15.78%,"Array, Two Pointers"
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,N,32.7%,Hard,1.79%,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,2.99%,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,17.63%,"Array, Binary Search"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,0.38%,"Array, Binary Search"
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,3.09%,"Array, Backtracking"
43,Multiply Strings,/problems/multiply-strings,N,38.8%,Medium,1.46%,"Math, String, Simulation"
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,0.81%,"Array, Math, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,5.16%,"Array, Hash Table, String, Sorting"
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,31.64%,"Math, Recursion"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,4.07%,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,0.92%,"Array, Matrix, Simulation"
55,Jump Game,/problems/jump-game,N,38.5%,Medium,0.81%,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,36.99%,"Array, Sorting"
59,Spiral Matrix II,/problems/spiral-matrix-ii,N,66.7%,Medium,3.15%,"Array, Matrix, Simulation"
61,Rotate List,/problems/rotate-list,N,35.8%,Medium,1.57%,"Linked List, Two Pointers"
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,0.88%,"Math, Dynamic Programming, Combinatorics"
63,Unique Paths II,/problems/unique-paths-ii,N,39.1%,Medium,2.26%,"Array, Dynamic Programming, Matrix"
65,Valid Number,/problems/valid-number,N,18.6%,Hard,52.40%,String
66,Plus One,/problems/plus-one,N,43.4%,Easy,1.05%,"Array, Math"
67,Add Binary,/problems/add-binary,N,51.4%,Easy,3.63%,No Topics Found
68,Text Justification,/problems/text-justification,N,36.8%,Hard,6.19%,"Array, String, Simulation"
69,Sqrt(x),/problems/sqrtx,N,37.1%,Easy,0.57%,"Math, Binary Search"
71,Simplify Path,/problems/simplify-path,N,39.2%,Medium,68.55%,"String, Stack"
75,Sort Colors,/problems/sort-colors,N,57.4%,Medium,0.73%,"Array, Two Pointers, Sorting"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,2.93%,"Hash Table, String, Sliding Window"
78,Subsets,/problems/subsets,N,74.0%,Medium,11.88%,"Array, Backtracking, Bit Manipulation"
79,Word Search,/problems/word-search,N,39.8%,Medium,8.41%,"Array, String, Backtracking, Matrix"
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,3.91%,"Array, Stack, Monotonic Stack"
