ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,7.67%,"Linked List, Recursion"
46,Permutations,/problems/permutations,N,74.9%,Medium,23.27%,"Array, Backtracking"
68,Text Justification,/problems/text-justification,N,36.8%,Hard,65.21%,"Array, String, Simulation"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,30.41%,"Hash Table, Linked List, Design, Doubly-Linked List"
419,Battleships in a Board,/problems/battleships-in-a-board,N,74.7%,Medium,100.00%,"Array, Depth-First Search, Matrix"
441,Arranging Coins,/problems/arranging-coins,N,41.9%,Easy,0.09%,"Math, Binary Search"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.06%,"String, Stack"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.05%,"Array, Hash Table"
253,Meeting Rooms II,/problems/meeting-rooms-ii,N,45.7%,Medium,0.05%,No Topics Found
724,Find Pivot Index,/problems/find-pivot-index,N,44.0%,Easy,0.03%,"Array, Prefix Sum"
63,Unique Paths II,/problems/unique-paths-ii,N,34.6%,Medium,0.02%,"Array, Dynamic Programming, Matrix"
139,Word Break,/problems/word-break,N,40.1%,Medium,0.02%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,29.5%,Medium,0.01%,"Two Pointers, String, Dynamic Programming"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.01%,"Array, Sorting"
344,Reverse String,/problems/reverse-string,N,68.5%,Easy,0.01%,"Two Pointers, String"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.01%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
279,Perfect Squares,/problems/perfect-squares,N,47.4%,Medium,0.01%,"Math, Dynamic Programming, Breadth-First Search"
76,Minimum Window Substring,/problems/minimum-window-substring,N,34.6%,Hard,0.01%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.00%,"Array, Binary Search, Divide and Conquer"
443,String Compression,/problems/string-compression,N,41.3%,Easy,0.00%,"Two Pointers, String"
