ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,0.09%,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,0.51%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,3.17%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,0.97%,"Two Pointers, String, Dynamic Programming"
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,1.66%,String
15,3Sum,/problems/3sum,N,32.3%,Medium,0.80%,"Array, Two Pointers, Sorting"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,1.20%,"Array, Two Pointers"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,33.32%,No Topics Found
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,4.48%,"Array, Dynamic Programming, Greedy"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,1.51%,"Array, Hash Table, String, Sorting"
64,Minimum Path Sum,/problems/minimum-path-sum,N,60.7%,Medium,2.05%,"Array, Dynamic Programming, Matrix"
118,Pascal's Triangle,/problems/pascals-triangle,N,69.3%,Easy,0.80%,"Array, Dynamic Programming"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,1.09%,"Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,/problems/best-time-to-buy-and-sell-stock-ii,N,63.4%,Medium,1.21%,"Array, Dynamic Programming, Greedy"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,1.17%,"Hash Table, Linked List, Design, Doubly-Linked List"
166,Fraction to Recurring Decimal,/problems/fraction-to-recurring-decimal,N,24.1%,Medium,37.41%,"Hash Table, Math, String"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,65.8%,Medium,1.08%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
338,Counting Bits,/problems/counting-bits,N,75.3%,Easy,4.18%,"Dynamic Programming, Bit Manipulation"
387,First Unique Character in a String,/problems/first-unique-character-in-a-string,N,59.0%,Easy,15.03%,"Hash Table, String, Queue, Counting"
443,String Compression,/problems/string-compression,N,48.9%,Medium,14.36%,"Two Pointers, String"
457,Circular Array Loop,/problems/circular-array-loop,N,32.3%,Medium,20.28%,"Array, Hash Table, Two Pointers"
532,K-diff Pairs in an Array,/problems/k-diff-pairs-in-an-array,N,40.8%,Medium,8.25%,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
647,Palindromic Substrings,/problems/palindromic-substrings,N,66.4%,Medium,39.68%,"Two Pointers, String, Dynamic Programming"
657,Robot Return to Origin,/problems/robot-return-to-origin,N,75.3%,Easy,6.39%,"String, Simulation"
696,Count Binary Substrings,/problems/count-binary-substrings,N,65.6%,Easy,62.56%,"Two Pointers, String"
724,Find Pivot Index,/problems/find-pivot-index,N,53.4%,Easy,1.98%,"Array, Prefix Sum"
730,Count Different Palindromic Subsequences,/problems/count-different-palindromic-subsequences,N,44.5%,Hard,91.15%,
740,Delete and Earn,/problems/delete-and-earn,N,57.4%,Medium,4.17%,"Array, Hash Table, Dynamic Programming"
749,Contain Virus,/problems/contain-virus,N,50.9%,Hard,74.95%,"Array, Depth-First Search, Breadth-First Search, Matrix, Simulation"
780,Reaching Points,/problems/reaching-points,N,32.4%,Hard,85.95%,Math
994,Rotting Oranges,/problems/rotting-oranges,N,52.5%,Medium,1.44%,"Array, Breadth-First Search, Matrix"
