ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,24.33%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,3.37%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,5.56%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,14.66%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,6.93%,"Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,1.27%,String
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,0.97%,No Topics Found
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,0.69%,String
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,5.47%,Math
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,4.89%,"String, Dynamic Programming, Recursion"
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,4.51%,"Array, Two Pointers, Greedy"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,8.54%,"Hash Table, Math, String"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,26.56%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,9.09%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,1.29%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,2.77%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,6.68%,"Hash Table, String, Backtracking"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,1.06%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,9.06%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,3.97%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,0.87%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,7.35%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,1.68%,"Linked List, Recursion"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,1.33%,"Array, Two Pointers"
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,3.20%,"Two Pointers, String, String Matching"
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,5.57%,"Math, Bit Manipulation"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,17.98%,"Array, Two Pointers"
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,N,32.7%,Hard,1.76%,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,0.50%,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,0.74%,"Array, Binary Search"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,3.18%,"Array, Binary Search"
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,9.62%,"Array, Hash Table, Backtracking, Matrix"
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,8.87%,String
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,1.77%,"Array, Backtracking"
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,2.63%,"Array, Hash Table"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,18.98%,No Topics Found
43,Multiply Strings,/problems/multiply-strings,N,38.8%,Medium,10.34%,"Math, String, Simulation"
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,6.14%,"Array, Dynamic Programming, Greedy"
46,Permutations,/problems/permutations,N,74.9%,Medium,1.81%,"Array, Backtracking"
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,1.75%,"Array, Math, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,5.08%,"Array, Hash Table, String, Sorting"
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,4.44%,"Math, Recursion"
51,N-Queens,/problems/n-queens,N,63.1%,Hard,2.54%,"Array, Backtracking"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,6.27%,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,5.09%,"Array, Matrix, Simulation"
55,Jump Game,/problems/jump-game,N,38.5%,Medium,3.03%,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,23.57%,"Array, Sorting"
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,25.32%,Array
60,Permutation Sequence,/problems/permutation-sequence,N,43.8%,Hard,4.89%,"Math, Recursion"
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,21.44%,"Math, Dynamic Programming, Combinatorics"
63,Unique Paths II,/problems/unique-paths-ii,N,39.1%,Medium,4.71%,"Array, Dynamic Programming, Matrix"
64,Minimum Path Sum,/problems/minimum-path-sum,N,60.7%,Medium,16.11%,"Array, Dynamic Programming, Matrix"
66,Plus One,/problems/plus-one,N,43.4%,Easy,6.44%,"Array, Math"
68,Text Justification,/problems/text-justification,N,36.8%,Hard,70.66%,"Array, String, Simulation"
69,Sqrt(x),/problems/sqrtx,N,37.1%,Easy,0.56%,"Math, Binary Search"
70,Climbing Stairs,/problems/climbing-stairs,N,51.8%,Easy,1.33%,"Math, Dynamic Programming, Memoization"
71,Simplify Path,/problems/simplify-path,N,39.2%,Medium,7.24%,"String, Stack"
72,Edit Distance,/problems/edit-distance,N,52.7%,Hard,7.60%,No Topics Found
74,Search a 2D Matrix,/problems/search-a-2d-matrix,N,47.0%,Medium,1.47%,"Array, Binary Search, Matrix"
75,Sort Colors,/problems/sort-colors,N,57.4%,Medium,0.72%,"Array, Two Pointers, Sorting"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,1.33%,"Hash Table, String, Sliding Window"
78,Subsets,/problems/subsets,N,74.0%,Medium,0.96%,"Array, Backtracking, Bit Manipulation"
79,Word Search,/problems/word-search,N,39.8%,Medium,13.02%,"Array, String, Backtracking, Matrix"
83,Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,N,49.9%,Easy,1.98%,Linked List
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,1.80%,"Array, Stack, Monotonic Stack"
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,2.77%,"Array, Two Pointers, Sorting"
90,Subsets II,/problems/subsets-ii,N,55.4%,Medium,1.72%,"Array, Backtracking, Bit Manipulation"
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,3.21%,"String, Dynamic Programming"
92,Reverse Linked List II,/problems/reverse-linked-list-ii,N,45.4%,Medium,2.39%,Linked List
94,Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,N,73.1%,Easy,1.27%,"Stack, Tree, Depth-First Search, Binary Tree"
95,Unique Binary Search Trees II,/problems/unique-binary-search-trees-ii,N,51.6%,Medium,4.75%,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
97,Interleaving String,/problems/interleaving-string,N,37.1%,Medium,6.82%,"String, Dynamic Programming"
100,Same Tree,/problems/same-tree,N,56.4%,Easy,2.46%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
