ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
43,Multiply Strings,/problems/multiply-strings,N,38.8%,Medium,100.00%,"Math, String, Simulation"
227,Basic Calculator II,/problems/basic-calculator-ii,N,36.9%,Medium,0.21%,"Math, String, Stack"
727,Minimum Window Subsequence,/problems/minimum-window-subsequence,N,41.8%,Hard,0.16%,No Topics Found
304,Range Sum Query 2D - Immutable,/problems/range-sum-query-2d-immutable,N,38.6%,Medium,0.16%,"Array, Design, Matrix, Prefix Sum"
721,Accounts Merge,/problems/accounts-merge,N,48.8%,Medium,0.16%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
218,The Skyline Problem,/problems/the-skyline-problem,N,34.6%,Hard,0.06%,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
556,Next Greater Element III,/problems/next-greater-element-iii,N,31.7%,Medium,0.05%,"Math, Two Pointers, String"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.05%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
48,Rotate Image,/problems/rotate-image,N,56.7%,Medium,0.04%,"Array, Math, Matrix"
698,Partition to K Equal Sum Subsets,/problems/partition-to-k-equal-sum-subsets,N,45.0%,Medium,0.02%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
301,Remove Invalid Parentheses,/problems/remove-invalid-parentheses,N,43.3%,Hard,0.01%,"String, Backtracking, Breadth-First Search"
31,Next Permutation,/problems/next-permutation,N,32.6%,Medium,0.01%,"Array, Two Pointers"
120,Triangle,/problems/triangle,N,44.2%,Medium,0.01%,"Array, Dynamic Programming"
212,Word Search II,/problems/word-search-ii,N,34.9%,Hard,0.01%,"Array, String, Backtracking, Trie, Matrix"
10,Regular Expression Matching,/problems/regular-expression-matching,N,26.8%,Hard,0.01%,"String, Dynamic Programming, Recursion"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.00%,"Array, Binary Search, Divide and Conquer"
660,Remove 9,/problems/remove-9,N,53.3%,Hard,0.00%,No Topics Found
772,Basic Calculator III,/problems/basic-calculator-iii,N,41.3%,Hard,0.00%,No Topics Found
