ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,100.00%,"String, Dynamic Programming, Backtracking"
221,Maximal Square,/problems/maximal-square,N,37.7%,Medium,0.15%,"Array, Dynamic Programming, Matrix"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.12%,"Array, Hash Table"
45,Jump Game II,/problems/jump-game-ii,N,30.6%,Hard,0.08%,"Array, Dynamic Programming, Greedy"
43,Multiply Strings,/problems/multiply-strings,N,33.9%,Medium,0.08%,"Math, String, Simulation"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,30.4%,Medium,0.06%,"Hash Table, String, Sliding Window"
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.05%,"String, Stack, Recursion"
617,Merge Two Binary Trees,/problems/merge-two-binary-trees,N,74.1%,Easy,0.02%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
387,First Unique Character in a String,/problems/first-unique-character-in-a-string,N,53.4%,Easy,0.02%,"Hash Table, String, Queue, Counting"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.01%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,29.5%,Medium,0.01%,"Two Pointers, String, Dynamic Programming"
91,Decode Ways,/problems/decode-ways,N,24.7%,Medium,0.01%,"String, Dynamic Programming"
69,Sqrt(x),/problems/sqrtx,N,33.9%,Easy,0.01%,"Math, Binary Search"
2,Add Two Numbers,/problems/add-two-numbers,N,33.9%,Medium,0.01%,"Linked List, Math, Recursion"
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.01%,No Topics Found
70,Climbing Stairs,/problems/climbing-stairs,N,47.8%,Easy,0.01%,"Math, Dynamic Programming, Memoization"
151,Reverse Words in a String,/problems/reverse-words-in-a-string,N,21.9%,Medium,0.00%,"Two Pointers, String"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,53.5%,Easy,0.00%,"Linked List, Recursion"
