ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
127,Word Ladder,/problems/word-ladder,N,36.7%,Hard,100.00%,"Hash Table, String, Breadth-First Search"
981,Time Based Key-Value Store,/problems/time-based-key-value-store,N,53.4%,Medium,50.00%,"Hash Table, String, Binary Search, Design"
909,Snakes and Ladders,/problems/snakes-and-ladders,N,38.4%,Medium,0.17%,"Array, Breadth-First Search, Matrix"
326,Power of Three,/problems/power-of-three,N,42.1%,Easy,0.12%,
54,Spiral Matrix,/problems/spiral-matrix,N,34.1%,Medium,0.10%,"Array, Matrix, Simulation"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.04%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
907,Sum of Subarray Minimums,/problems/sum-of-subarray-minimums,N,32.3%,Medium,0.04%,"Array, Dynamic Programming, Stack, Monotonic Stack"
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.02%,"String, Stack, Recursion"
863,All Nodes Distance K in Binary Tree,/problems/all-nodes-distance-k-in-binary-tree,N,55.4%,Medium,0.02%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.01%,"Array, Hash Table, String, Sorting"
371,Sum of Two Integers,/problems/sum-of-two-integers,N,50.7%,Medium,0.01%,"Math, Bit Manipulation"
139,Word Break,/problems/word-break,N,40.1%,Medium,0.01%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
230,Kth Smallest Element in a BST,/problems/kth-smallest-element-in-a-bst,N,60.2%,Medium,0.01%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
347,Top K Frequent Elements,/problems/top-k-frequent-elements,N,61.2%,Medium,0.00%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,45.1%,Easy,0.00%,"Array, Two Pointers"
440,K-th Smallest in Lexicographical Order,/problems/k-th-smallest-in-lexicographical-order,N,29.1%,Hard,0.00%,Trie
772,Basic Calculator III,/problems/basic-calculator-iii,N,41.3%,Hard,0.00%,No Topics Found
814,Binary Tree Pruning,/problems/binary-tree-pruning,N,74.5%,Medium,0.00%,"Tree, Depth-First Search, Binary Tree"
1063,Number of Valid Subarrays,/problems/number-of-valid-subarrays,N,71.1%,Hard,0.00%,
