ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,0.46%,"Linked List, Recursion"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,1.62%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
68,Text Justification,/problems/text-justification,N,36.8%,Hard,10.36%,"Array, String, Simulation"
79,Word Search,/problems/word-search,N,39.8%,Medium,18.03%,"Array, String, Backtracking, Matrix"
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,0.79%,"Array, Two Pointers, Sorting"
212,Word Search II,/problems/word-search-ii,N,36.9%,Hard,4.04%,"Array, String, Backtracking, Trie, Matrix"
347,Top K Frequent Elements,/problems/top-k-frequent-elements,N,64.8%,Medium,1.35%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
718,Maximum Length of Repeated Subarray,/problems/maximum-length-of-repeated-subarray,N,51.5%,Medium,24.78%,No Topics Found
811,Subdomain Visit Count,/problems/subdomain-visit-count,N,75.2%,Medium,100.00%,"Array, Hash Table, String, Counting"
1160,Find Words That Can Be Formed by Characters,/problems/find-words-that-can-be-formed-by-characters,N,67.7%,Easy,62.30%,"Array, Hash Table, String, Counting"
1197,Minimum Knight Moves,/problems/minimum-knight-moves,Y,39.7%,Medium,96.79%,No Topics Found
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,N,47.3%,Medium,27.80%,"Array, Hash Table, String, Sorting"
228,Summary Ranges,/problems/summary-ranges,N,39.5%,Medium,1.79%,Array
224,Basic Calculator,/problems/basic-calculator,N,36.8%,Hard,1.52%,"Math, String, Stack, Recursion"
770,Basic Calculator IV,/problems/basic-calculator-iv,N,48.1%,Hard,1.35%,"Hash Table, Math, String, Stack, Recursion"
362,Design Hit Counter,/problems/design-hit-counter,N,63.7%,Medium,0.50%,No Topics Found
563,Binary Tree Tilt,/problems/binary-tree-tilt,N,48.7%,Easy,0.40%,
85,Maximal Rectangle,/problems/maximal-rectangle,N,37.7%,Hard,0.15%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
346,Moving Average from Data Stream,/problems/moving-average-from-data-stream,N,70.9%,Easy,0.15%,No Topics Found
829,Consecutive Numbers Sum,/problems/consecutive-numbers-sum,N,37.5%,Hard,0.05%,"Math, Enumeration"
227,Basic Calculator II,/problems/basic-calculator-ii,N,36.9%,Medium,0.05%,"Math, String, Stack"
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,47.5%,Medium,0.04%,"Array, Hash Table, Math, Design, Randomized"
349,Intersection of Two Arrays,/problems/intersection-of-two-arrays,N,62.5%,Easy,0.03%,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
297,Serialize and Deserialize Binary Tree,/problems/serialize-and-deserialize-binary-tree,N,47.5%,Hard,0.03%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.02%,"Array, Hash Table"
724,Find Pivot Index,/problems/find-pivot-index,N,44.0%,Easy,0.01%,"Array, Prefix Sum"
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,43.9%,Medium,0.01%,"Array, Hash Table, Prefix Sum"
1143,Longest Common Subsequence,/problems/longest-common-subsequence,N,58.4%,Medium,0.01%,"String, Dynamic Programming"
453,Minimum Moves to Equal Array Elements,/problems/minimum-moves-to-equal-array-elements,N,50.2%,Easy,0.00%,"Array, Math"
985,Sum of Even Numbers After Queries,/problems/sum-of-even-numbers-after-queries,N,61.3%,Easy,0.00%,
