ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,9.46%,"Array, Hash Table, Matrix"
68,Text Justification,/problems/text-justification,N,36.8%,Hard,18.66%,"Array, String, Simulation"
79,Word Search,/problems/word-search,N,39.8%,Medium,18.61%,"Array, String, Backtracking, Matrix"
212,Word Search II,/problems/word-search-ii,N,36.9%,Hard,2.48%,"Array, String, Backtracking, Trie, Matrix"
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,N,58.1%,Medium,7.54%,"Tree, Depth-First Search, Binary Tree"
362,Design Hit Counter,/problems/design-hit-counter,Y,68.4%,Medium,15.06%,No Topics Found
718,Maximum Length of Repeated Subarray,/problems/maximum-length-of-repeated-subarray,N,51.5%,Medium,48.40%,No Topics Found
733,Flood Fill,/problems/flood-fill,N,60.6%,Easy,2.35%,"Array, Depth-First Search, Breadth-First Search, Matrix"
811,Subdomain Visit Count,/problems/subdomain-visit-count,N,75.2%,Medium,100.00%,"Array, Hash Table, String, Counting"
1160,Find Words That Can Be Formed by Characters,/problems/find-words-that-can-be-formed-by-characters,N,67.7%,Easy,70.26%,"Array, Hash Table, String, Counting"
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,N,47.3%,Medium,68.32%,"Array, Hash Table, String, Sorting"
1654,Minimum Jumps to Reach Home,/problems/minimum-jumps-to-reach-home,N,28.7%,Medium,13.28%,
2133,Check if Every Row and Column Contains All Numbers,/problems/check-if-every-row-and-column-contains-all-numbers,N,52.8%,Easy,17.11%,
224,Basic Calculator,/problems/basic-calculator,N,36.8%,Hard,0.57%,"Math, String, Stack, Recursion"
85,Maximal Rectangle,/problems/maximal-rectangle,N,37.7%,Hard,0.01%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
