ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,0.44%,"Array, Binary Search, Divide and Conquer"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,1.01%,"Hash Table, Math, String"
15,3Sum,/problems/3sum,N,32.3%,Medium,0.29%,"Array, Two Pointers, Sorting"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,1.77%,"String, Stack"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,6.09%,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,1.44%,"Array, Binary Search"
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,0.71%,"Array, Backtracking"
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,1.52%,"Math, Recursion"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,4.54%,"Array, Divide and Conquer, Dynamic Programming"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,0.59%,"Array, Sorting"
61,Rotate List,/problems/rotate-list,N,35.8%,Medium,2.97%,"Linked List, Two Pointers"
65,Valid Number,/problems/valid-number,N,18.6%,Hard,16.42%,String
68,Text Justification,/problems/text-justification,N,36.8%,Hard,41.97%,"Array, String, Simulation"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,1.19%,"Hash Table, String, Sliding Window"
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,0.92%,"Array, Two Pointers, Sorting"
100,Same Tree,/problems/same-tree,N,56.4%,Easy,2.19%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
101,Symmetric Tree,/problems/symmetric-tree,N,53.0%,Easy,1.54%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
102,Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,N,63.4%,Medium,2.14%,"Tree, Breadth-First Search, Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,1.48%,"Tree, Breadth-First Search, Binary Tree"
104,Maximum Depth of Binary Tree,/problems/maximum-depth-of-binary-tree,N,73.2%,Easy,0.99%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
125,Valid Palindrome,/problems/valid-palindrome,N,43.7%,Easy,0.85%,"Two Pointers, String"
127,Word Ladder,/problems/word-ladder,N,36.7%,Hard,9.49%,"Hash Table, String, Breadth-First Search"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,2.09%,"Hash Table, Linked List, Design, Doubly-Linked List"
149,Max Points on a Line,/problems/max-points-on-a-line,N,21.8%,Hard,22.49%,"Array, Hash Table, Math, Geometry"
150,Evaluate Reverse Polish Notation,/problems/evaluate-reverse-polish-notation,N,44.1%,Medium,5.72%,"Array, Math, Stack"
152,Maximum Product Subarray,/problems/maximum-product-subarray,N,34.9%,Medium,4.60%,"Array, Dynamic Programming"
