ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,16.94%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,12.50%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,14.97%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,23.42%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,9.97%,"Two Pointers, String, Dynamic Programming"
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,1.39%,No Topics Found
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,5.74%,String
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,25.52%,"String, Dynamic Programming, Recursion"
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,1.30%,"Array, Two Pointers, Greedy"
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,1.64%,"Hash Table, Math, String"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,18.01%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,5.11%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,8.39%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,1.84%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,41.96%,"Hash Table, String, Backtracking"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,1.53%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,8.68%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.53%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,7.06%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,7.72%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,N,60.5%,Medium,14.08%,"Linked List, Recursion"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,34.08%,"Linked List, Recursion"
