ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
449,Serialize and Deserialize BST,/problems/serialize-and-deserialize-bst,N,56.8%,Medium,100.00%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Search Tree, Binary Tree"
1052,Grumpy Bookstore Owner,/problems/grumpy-bookstore-owner,N,55.4%,Medium,0.84%,"Array, Sliding Window"
991,Broken Calculator,/problems/broken-calculator,N,45.6%,Medium,0.73%,"Math, Greedy"
45,Jump Game II,/problems/jump-game-ii,N,30.6%,Hard,0.57%,"Array, Dynamic Programming, Greedy"
457,Circular Array Loop,/problems/circular-array-loop,N,29.4%,Medium,0.43%,"Array, Hash Table, Two Pointers"
403,Frog Jump,/problems/frog-jump,N,39.7%,Hard,0.28%,"Array, Dynamic Programming"
402,Remove K Digits,/problems/remove-k-digits,N,28.4%,Medium,0.24%,"String, Stack, Greedy, Monotonic Stack"
826,Most Profit Assigning Work,/problems/most-profit-assigning-work,N,38.5%,Medium,0.09%,"Array, Two Pointers, Binary Search, Greedy, Sorting"
564,Find the Closest Palindrome,/problems/find-the-closest-palindrome,N,19.7%,Hard,0.08%,"Math, String"
316,Remove Duplicate Letters,/problems/remove-duplicate-letters,N,35.8%,Hard,0.07%,"String, Stack, Greedy, Monotonic Stack"
202,Happy Number,/problems/happy-number,N,50.4%,Easy,0.06%,"Hash Table, Math, Two Pointers"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.05%,"Array, Binary Search"
273,Integer to English Words,/problems/integer-to-english-words,N,27.1%,Hard,0.05%,"Math, String, Recursion"
238,Product of Array Except Self,/problems/product-of-array-except-self,N,60.1%,Medium,0.05%,"Array, Prefix Sum"
253,Meeting Rooms II,/problems/meeting-rooms-ii,N,45.7%,Medium,0.03%,No Topics Found
703,Kth Largest Element in a Stream,/problems/kth-largest-element-in-a-stream,N,49.7%,Easy,0.03%,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.03%,"Hash Table, Linked List, Design, Doubly-Linked List"
40,Combination Sum II,/problems/combination-sum-ii,N,48.2%,Medium,0.02%,"Array, Backtracking"
128,Longest Consecutive Sequence,/problems/longest-consecutive-sequence,N,45.1%,Hard,0.02%,"Array, Hash Table, Union Find"
55,Jump Game,/problems/jump-game,N,34.6%,Medium,0.02%,"Array, Dynamic Programming, Greedy"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.02%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,43.0%,Hard,0.02%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,46.8%,Medium,0.02%,"Hash Table, String, Backtracking"
116,Populating Next Right Pointers in Each Node,/problems/populating-next-right-pointers-in-each-node,N,45.2%,Medium,0.02%,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
977,Squares of a Sorted Array,/problems/squares-of-a-sorted-array,N,72.1%,Easy,0.02%,"Array, Two Pointers, Sorting"
621,Task Scheduler,/problems/task-scheduler,N,50.1%,Medium,0.01%,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
76,Minimum Window Substring,/problems/minimum-window-substring,N,34.6%,Hard,0.01%,"Hash Table, String, Sliding Window"
138,Copy List with Random Pointer,/problems/copy-list-with-random-pointer,N,36.4%,Medium,0.01%,"Hash Table, Linked List"
210,Course Schedule II,/problems/course-schedule-ii,N,40.7%,Medium,0.01%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
283,Move Zeroes,/problems/move-zeroes,N,57.8%,Easy,0.01%,"Array, Two Pointers"
207,Course Schedule,/problems/course-schedule,N,43.1%,Medium,0.01%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
234,Palindrome Linked List,/problems/palindrome-linked-list,N,39.3%,Easy,0.01%,No Topics Found
22,Generate Parentheses,/problems/generate-parentheses,N,62.7%,Medium,0.01%,"String, Dynamic Programming, Backtracking"
208,Implement Trie (Prefix Tree),/problems/implement-trie-prefix-tree,N,49.4%,Medium,0.01%,"Hash Table, String, Design, Trie"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,29.5%,Medium,0.01%,"Two Pointers, String, Dynamic Programming"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.00%,"Array, Hash Table, String, Sorting"
1003,Check If Word Is Valid After Substitutions,/problems/check-if-word-is-valid-after-substitutions,N,55.3%,Medium,0.00%,"String, Stack"
1156,Swap For Longest Repeated Character Substring,/problems/swap-for-longest-repeated-character-substring,N,49.0%,Medium,0.00%,
1157,Online Majority Element In Subarray,/problems/online-majority-element-in-subarray,N,39.0%,Hard,0.00%,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree"
