ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,100.00%,"Array, Hash Table, Matrix"
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,50.00%,"Array, Two Pointers, Sorting"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.14%,"Linked List, Recursion"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.11%,"Array, Binary Search"
223,Rectangle Area,/problems/rectangle-area,N,37.8%,Medium,0.10%,"Math, Geometry"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.09%,"Hash Table, Linked List, Design, Doubly-Linked List"
48,Rotate Image,/problems/rotate-image,N,56.7%,Medium,0.06%,"Array, Math, Matrix"
231,Power of Two,/problems/power-of-two,N,43.7%,Easy,0.06%,"Math, Bit Manipulation, Recursion"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.06%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
706,Design HashMap,/problems/design-hashmap,N,61.3%,Easy,0.04%,"Array, Hash Table, Linked List, Design, Hash Function"
939,Minimum Area Rectangle,/problems/minimum-area-rectangle,N,51.8%,Medium,0.04%,"Array, Hash Table, Math, Geometry, Sorting"
199,Binary Tree Right Side View,/problems/binary-tree-right-side-view,N,54.1%,Medium,0.03%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.03%,"Array, Hash Table"
70,Climbing Stairs,/problems/climbing-stairs,N,47.8%,Easy,0.03%,"Math, Dynamic Programming, Memoization"
64,Minimum Path Sum,/problems/minimum-path-sum,N,54.5%,Medium,0.02%,"Array, Dynamic Programming, Matrix"
2,Add Two Numbers,/problems/add-two-numbers,N,33.9%,Medium,0.02%,"Linked List, Math, Recursion"
97,Interleaving String,/problems/interleaving-string,N,31.5%,Hard,0.02%,"String, Dynamic Programming"
53,Maximum Subarray,/problems/maximum-subarray,N,46.5%,Easy,0.02%,"Array, Divide and Conquer, Dynamic Programming"
22,Generate Parentheses,/problems/generate-parentheses,N,62.7%,Medium,0.02%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.02%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
114,Flatten Binary Tree to Linked List,/problems/flatten-binary-tree-to-linked-list,N,49.3%,Medium,0.02%,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,15.4%,Medium,0.02%,String
151,Reverse Words in a String,/problems/reverse-words-in-a-string,N,21.9%,Medium,0.01%,"Two Pointers, String"
739,Daily Temperatures,/problems/daily-temperatures,N,63.3%,Medium,0.01%,"Array, Stack, Monotonic Stack"
415,Add Strings,/problems/add-strings,N,47.5%,Easy,0.01%,"Math, String, Simulation"
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.00%,No Topics Found
