ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,4.00%,"Array, Hash Table"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,1.55%,"Two Pointers, String, Dynamic Programming"
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,1.68%,No Topics Found
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,9.59%,"Hash Table, Math, String"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,3.58%,"Hash Table, Math, String"
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,3.31%,"Hash Table, String, Backtracking"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,1.99%,"String, Stack"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,7.35%,"String, Dynamic Programming, Backtracking"
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,4.68%,"Array, Hash Table"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,3.24%,No Topics Found
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,3.07%,"Array, Math, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,5.37%,"Array, Hash Table, String, Sorting"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,1.38%,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,3.49%,"Array, Matrix, Simulation"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,2.58%,"Array, Sorting"
71,Simplify Path,/problems/simplify-path,N,39.2%,Medium,13.64%,"String, Stack"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,11.16%,"Hash Table, String, Sliding Window"
78,Subsets,/problems/subsets,N,74.0%,Medium,3.69%,"Array, Backtracking, Bit Manipulation"
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,4.01%,"Array, Two Pointers, Sorting"
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,6.43%,"Tree, Breadth-First Search, Binary Tree"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,3.88%,"Array, Dynamic Programming"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,9.08%,"Hash Table, Linked List, Design, Doubly-Linked List"
150,Evaluate Reverse Polish Notation,/problems/evaluate-reverse-polish-notation,N,44.1%,Medium,6.95%,"Array, Math, Stack"
176,Second Highest Salary,/problems/second-highest-salary,N,36.6%,Medium,5.26%,Database
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,2.21%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
206,Reverse Linked List,/problems/reverse-linked-list,N,72.5%,Easy,2.54%,"Linked List, Recursion"
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,N,58.1%,Medium,11.23%,"Tree, Depth-First Search, Binary Tree"
253,Meeting Rooms II,/problems/meeting-rooms-ii,Y,50.5%,Medium,7.86%,No Topics Found
268,Missing Number,/problems/missing-number,N,61.7%,Easy,2.71%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
283,Move Zeroes,/problems/move-zeroes,N,61.4%,Easy,2.04%,"Array, Two Pointers"
316,Remove Duplicate Letters,/problems/remove-duplicate-letters,N,44.6%,Medium,73.10%,"String, Stack, Greedy, Monotonic Stack"
