ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
2269,Find the K-Beauty of a Number,/problems/find-the-k-beauty-of-a-number,N,56.8%,Easy,0.00%,"Math, String, Sliding Window"
1657,Determine if Two Strings Are Close,/problems/determine-if-two-strings-are-close,N,54.1%,Medium,0.00%,"Hash Table, String, Sorting, Counting"
2070,Most Beautiful Item for Each Query,/problems/most-beautiful-item-for-each-query,N,49.7%,Medium,0.00%,"Array, Binary Search, Sorting"
301,Remove Invalid Parentheses,/problems/remove-invalid-parentheses,N,43.3%,Hard,0.13%,"String, Backtracking, Breadth-First Search"
1190,Reverse Substrings Between Each Pair of Parentheses,/problems/reverse-substrings-between-each-pair-of-parentheses,N,61.5%,Medium,0.10%,"String, Stack"
55,Jump Game,/problems/jump-game,N,34.6%,Medium,0.06%,"Array, Dynamic Programming, Greedy"
253,Meeting Rooms II,/problems/meeting-rooms-ii,N,45.7%,Medium,0.05%,No Topics Found
227,Basic Calculator II,/problems/basic-calculator-ii,N,36.9%,Medium,0.05%,"Math, String, Stack"
759,Employee Free Time,/problems/employee-free-time,N,66.3%,Hard,0.05%,No Topics Found
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.04%,"Array, Sorting"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.00%,"String, Stack"
15,3Sum,/problems/3sum,N,26.8%,Medium,0.00%,"Array, Two Pointers, Sorting"
