ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,10.23%,Array
210,Course Schedule II,/problems/course-schedule-ii,N,48.0%,Medium,26.67%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,N,47.3%,Medium,100.00%,"Array, Hash Table, String, Sorting"
1801,Number of Orders in the Backlog,/problems/number-of-orders-in-the-backlog,N,47.4%,Medium,63.34%,"Array, Heap (Priority Queue), Simulation"
418,Sentence Screen Fitting,/problems/sentence-screen-fitting,N,32.6%,Medium,0.73%,No Topics Found
755,Pour Water,/problems/pour-water,N,43.3%,Medium,0.56%,No Topics Found
224,Basic Calculator,/problems/basic-calculator,N,36.8%,Hard,0.45%,"Math, String, Stack, Recursion"
54,Spiral Matrix,/problems/spiral-matrix,N,34.1%,Medium,0.35%,"Array, Matrix, Simulation"
59,Spiral Matrix II,/problems/spiral-matrix-ii,N,53.9%,Medium,0.18%,"Array, Matrix, Simulation"
68,Text Justification,/problems/text-justification,N,27.7%,Hard,0.16%,"Array, String, Simulation"
697,Degree of an Array,/problems/degree-of-an-array,N,53.8%,Easy,0.07%,
525,Contiguous Array,/problems/contiguous-array,N,42.8%,Medium,0.02%,"Array, Hash Table, Prefix Sum"
438,Find All Anagrams in a String,/problems/find-all-anagrams-in-a-string,N,43.3%,Medium,0.01%,"Hash Table, String, Sliding Window"
1391,Check if There is a Valid Path in a Grid,/problems/check-if-there-is-a-valid-path-in-a-grid,N,44.5%,Medium,0.00%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
1393,Capital Gain/Loss,/problems/capital-gainloss,N,89.4%,Medium,0.00%,Database
