ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,0.67%,"Two Pointers, String, Dynamic Programming"
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,2.03%,"Array, Hash Table"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,1.41%,No Topics Found
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,1.86%,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,4.28%,"Array, Sorting"
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,3.02%,"Array, Stack, Monotonic Stack"
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,2.49%,"String, Dynamic Programming"
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,0.86%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,0.43%,"Array, Dynamic Programming"
199,Binary Tree Right Side View,/problems/binary-tree-right-side-view,N,61.2%,Medium,2.43%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
238,Product of Array Except Self,/problems/product-of-array-except-self,N,64.7%,Medium,1.04%,"Array, Prefix Sum"
339,Nested List Weight Sum,/problems/nested-list-weight-sum,Y,82.2%,Medium,16.32%,No Topics Found
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,N,38.3%,Hard,10.37%,"Array, Binary Search, Dynamic Programming, Sorting"
423,Reconstruct Original Digits from English,/problems/reconstruct-original-digits-from-english,N,51.3%,Medium,55.34%,
435,Non-overlapping Intervals,/problems/non-overlapping-intervals,N,49.9%,Medium,3.94%,"Array, Dynamic Programming, Greedy, Sorting"
502,IPO,/problems/ipo,N,44.9%,Hard,60.97%,"Array, Greedy, Sorting, Heap (Priority Queue)"
691,Stickers to Spell Word,/problems/stickers-to-spell-word,N,46.3%,Hard,100.00%,"Array, String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
875,Koko Eating Bananas,/problems/koko-eating-bananas,N,52.2%,Medium,13.80%,"Array, Binary Search"
994,Rotting Oranges,/problems/rotting-oranges,N,52.5%,Medium,4.81%,"Array, Breadth-First Search, Matrix"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.80%,"Hash Table, Linked List, Design, Doubly-Linked List"
780,Reaching Points,/problems/reaching-points,N,29.4%,Hard,0.61%,Math
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,46.8%,Medium,0.49%,"Hash Table, String, Backtracking"
532,K-diff Pairs in an Array,/problems/k-diff-pairs-in-an-array,N,31.6%,Easy,0.39%,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
706,Design HashMap,/problems/design-hashmap,N,61.3%,Easy,0.37%,"Array, Hash Table, Linked List, Design, Hash Function"
1283,Find the Smallest Divisor Given a Threshold,/problems/find-the-smallest-divisor-given-a-threshold,N,47.6%,Medium,0.37%,"Array, Binary Search"
460,LFU Cache,/problems/lfu-cache,N,34.2%,Hard,0.18%,"Hash Table, Linked List, Design, Doubly-Linked List"
232,Implement Queue using Stacks,/problems/implement-queue-using-stacks,N,49.6%,Easy,0.17%,"Stack, Design, Queue"
642,Design Search Autocomplete System,/problems/design-search-autocomplete-system,N,44.7%,Hard,0.16%,No Topics Found
895,Maximum Frequency Stack,/problems/maximum-frequency-stack,N,60.6%,Hard,0.16%,"Hash Table, Stack, Design, Ordered Set"
218,The Skyline Problem,/problems/the-skyline-problem,N,34.6%,Hard,0.15%,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
251,Flatten 2D Vector,/problems/flatten-2d-vector,N,45.7%,Medium,0.14%,No Topics Found
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.14%,"Array, Hash Table"
82,Remove Duplicates from Sorted List II,/problems/remove-duplicates-from-sorted-list-ii,N,36.8%,Medium,0.11%,"Linked List, Two Pointers"
348,Design Tic-Tac-Toe,/problems/design-tic-tac-toe,N,54.3%,Medium,0.09%,No Topics Found
384,Shuffle an Array,/problems/shuffle-an-array,N,52.8%,Medium,0.09%,No Topics Found
127,Word Ladder,/problems/word-ladder,N,29.6%,Medium,0.09%,"Hash Table, String, Breadth-First Search"
