ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,5.22%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
399,Evaluate Division,/problems/evaluate-division,N,59.6%,Medium,52.61%,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
432,All O`one Data Structure,/problems/all-oone-data-structure,N,36.7%,Hard,100.00%,"Hash Table, Linked List, Design, Doubly-Linked List"
296,Best Meeting Point,/problems/best-meeting-point,N,57.5%,Hard,1.06%,No Topics Found
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.94%,"Hash Table, Linked List, Design, Doubly-Linked List"
212,Word Search II,/problems/word-search-ii,N,34.9%,Hard,0.79%,"Array, String, Backtracking, Trie, Matrix"
68,Text Justification,/problems/text-justification,N,27.7%,Hard,0.78%,"Array, String, Simulation"
527,Word Abbreviation,/problems/word-abbreviation,N,54.3%,Hard,0.74%,No Topics Found
36,Valid Sudoku,/problems/valid-sudoku,N,48.7%,Medium,0.59%,"Array, Hash Table, Matrix"
772,Basic Calculator III,/problems/basic-calculator-iii,N,41.3%,Hard,0.59%,No Topics Found
439,Ternary Expression Parser,/problems/ternary-expression-parser,N,55.9%,Medium,0.57%,No Topics Found
253,Meeting Rooms II,/problems/meeting-rooms-ii,N,45.7%,Medium,0.55%,No Topics Found
332,Reconstruct Itinerary,/problems/reconstruct-itinerary,N,36.7%,Medium,0.52%,"Depth-First Search, Graph, Eulerian Circuit"
403,Frog Jump,/problems/frog-jump,N,39.7%,Hard,0.50%,"Array, Dynamic Programming"
289,Game of Life,/problems/game-of-life,N,54.5%,Medium,0.49%,"Array, Matrix, Simulation"
317,Shortest Distance from All Buildings,/problems/shortest-distance-from-all-buildings,N,41.4%,Hard,0.48%,No Topics Found
127,Word Ladder,/problems/word-ladder,N,29.6%,Medium,0.43%,"Hash Table, String, Breadth-First Search"
227,Basic Calculator II,/problems/basic-calculator-ii,N,36.9%,Medium,0.42%,"Math, String, Stack"
139,Word Break,/problems/word-break,N,40.1%,Medium,0.33%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
460,LFU Cache,/problems/lfu-cache,N,34.2%,Hard,0.33%,"Hash Table, Linked List, Design, Doubly-Linked List"
224,Basic Calculator,/problems/basic-calculator,N,36.8%,Hard,0.29%,"Math, String, Stack, Recursion"
37,Sudoku Solver,/problems/sudoku-solver,N,43.6%,Hard,0.26%,"Array, Hash Table, Backtracking, Matrix"
415,Add Strings,/problems/add-strings,N,47.5%,Easy,0.24%,"Math, String, Simulation"
269,Alien Dictionary,/problems/alien-dictionary,N,33.3%,Hard,0.23%,No Topics Found
635,Design Log Storage System,/problems/design-log-storage-system,N,58.6%,Medium,0.22%,No Topics Found
161,One Edit Distance,/problems/one-edit-distance,N,32.3%,Medium,0.21%,No Topics Found
295,Find Median from Data Stream,/problems/find-median-from-data-stream,N,44.3%,Hard,0.20%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
632,Smallest Range Covering Elements from K Lists,/problems/smallest-range-covering-elements-from-k-lists,N,52.4%,Hard,0.15%,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
169,Majority Element,/problems/majority-element,N,58.7%,Easy,0.13%,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
839,Similar String Groups,/problems/similar-string-groups,N,38.6%,Hard,0.12%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find"
79,Word Search,/problems/word-search,N,35.6%,Medium,0.11%,"Array, String, Backtracking, Matrix"
140,Word Break II,/problems/word-break-ii,N,32.6%,Hard,0.11%,No Topics Found
311,Sparse Matrix Multiplication,/problems/sparse-matrix-multiplication,N,61.9%,Medium,0.11%,No Topics Found
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.10%,No Topics Found
54,Spiral Matrix,/problems/spiral-matrix,N,34.1%,Medium,0.10%,"Array, Matrix, Simulation"
282,Expression Add Operators,/problems/expression-add-operators,N,35.5%,Hard,0.09%,No Topics Found
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.08%,"Array, Sorting"
341,Flatten Nested List Iterator,/problems/flatten-nested-list-iterator,N,52.9%,Medium,0.08%,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
480,Sliding Window Median,/problems/sliding-window-median,N,37.2%,Hard,0.07%,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
986,Interval List Intersections,/problems/interval-list-intersections,N,67.3%,Medium,0.07%,"Array, Two Pointers"
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.07%,"String, Stack, Recursion"
1146,Snapshot Array,/problems/snapshot-array,N,37.0%,Medium,0.07%,"Array, Hash Table, Binary Search, Design"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.06%,"Array, Hash Table"
340,Longest Substring with At Most K Distinct Characters,/problems/longest-substring-with-at-most-k-distinct-characters,N,44.1%,Hard,0.06%,No Topics Found
305,Number of Islands II,/problems/number-of-islands-ii,N,40.1%,Hard,0.06%,No Topics Found
362,Design Hit Counter,/problems/design-hit-counter,N,63.7%,Medium,0.06%,No Topics Found
