ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,1.87%,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,0.65%,"Hash Table, String, Sliding Window"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,2.77%,"String, Stack"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,1.86%,"Hash Table, String, Sliding Window"
125,Valid Palindrome,/problems/valid-palindrome,N,43.7%,Easy,0.60%,"Two Pointers, String"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,1.50%,"Hash Table, Linked List, Design, Doubly-Linked List"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,65.8%,Medium,29.65%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
234,Palindrome Linked List,/problems/palindrome-linked-list,N,49.6%,Easy,1.93%,No Topics Found
242,Valid Anagram,/problems/valid-anagram,N,62.8%,Easy,2.12%,"Hash Table, String, Sorting"
346,Moving Average from Data Stream,/problems/moving-average-from-data-stream,Y,77.1%,Easy,100.00%,No Topics Found
383,Ransom Note,/problems/ransom-note,N,57.6%,Easy,18.52%,"Hash Table, String, Counting"
480,Sliding Window Median,/problems/sliding-window-median,N,41.4%,Hard,57.55%,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
509,Fibonacci Number,/problems/fibonacci-number,N,69.2%,Easy,0.88%,"Math, Dynamic Programming, Recursion, Memoization"
1152,Analyze User Website Visit Pattern,/problems/analyze-user-website-visit-pattern,Y,43.3%,Medium,85.45%,No Topics Found
1209,Remove All Adjacent Duplicates in String II,/problems/remove-all-adjacent-duplicates-in-string-ii,N,56.0%,Medium,17.73%,"String, Stack"
1650,Lowest Common Ancestor of a Binary Tree III,/problems/lowest-common-ancestor-of-a-binary-tree-iii,Y,77.3%,Medium,23.31%,No Topics Found
128,Longest Consecutive Sequence,/problems/longest-consecutive-sequence,N,45.1%,Hard,0.12%,"Array, Hash Table, Union Find"
286,Walls and Gates,/problems/walls-and-gates,N,54.5%,Medium,0.09%,No Topics Found
22,Generate Parentheses,/problems/generate-parentheses,N,62.7%,Medium,0.05%,"String, Dynamic Programming, Backtracking"
443,String Compression,/problems/string-compression,N,41.3%,Easy,0.03%,"Two Pointers, String"
66,Plus One,/problems/plus-one,N,43.0%,Easy,0.03%,"Array, Math"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.03%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
784,Letter Case Permutation,/problems/letter-case-permutation,N,64.6%,Medium,0.02%,"String, Backtracking, Bit Manipulation"
127,Word Ladder,/problems/word-ladder,N,29.6%,Medium,0.01%,"Hash Table, String, Breadth-First Search"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.01%,"Linked List, Recursion"
412,Fizz Buzz,/problems/fizz-buzz,N,62.3%,Easy,0.01%,"Math, String, Simulation"
347,Top K Frequent Elements,/problems/top-k-frequent-elements,N,61.2%,Medium,0.00%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
