ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,3.75%,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,8.81%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,37.11%,"Array, Binary Search, Divide and Conquer"
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,30.59%,No Topics Found
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,19.61%,Math
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,10.05%,"Hash Table, Math, String"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,9.80%,"String, Stack"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,6.91%,"Array, Binary Search"
71,Simplify Path,/problems/simplify-path,N,39.2%,Medium,68.56%,"String, Stack"
118,Pascal's Triangle,/problems/pascals-triangle,N,69.3%,Easy,14.04%,"Array, Dynamic Programming"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,10.23%,"Array, Dynamic Programming"
136,Single Number,/problems/single-number,N,70.1%,Easy,9.97%,"Array, Bit Manipulation"
176,Second Highest Salary,/problems/second-highest-salary,N,36.6%,Medium,24.99%,Database
383,Ransom Note,/problems/ransom-note,N,57.6%,Easy,17.98%,"Hash Table, String, Counting"
871,Minimum Number of Refueling Stops,/problems/minimum-number-of-refueling-stops,N,39.9%,Hard,100.00%,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
509,Fibonacci Number,/problems/fibonacci-number,N,69.2%,Easy,12.59%,"Math, Dynamic Programming, Recursion, Memoization"
