ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,42.95%,"Array, Binary Search, Divide and Conquer"
72,Edit Distance,/problems/edit-distance,N,52.7%,Hard,85.90%,No Topics Found
442,Find All Duplicates in an Array,/problems/find-all-duplicates-in-an-array,N,73.4%,Medium,100.00%,"Array, Hash Table"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.62%,"Array, Hash Table"
169,Majority Element,/problems/majority-element,N,58.7%,Easy,0.52%,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,29.5%,Medium,0.51%,"Two Pointers, String, Dynamic Programming"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.40%,"Linked List, Recursion"
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,15.4%,Medium,0.35%,String
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,53.5%,Easy,0.24%,"Linked List, Recursion"
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,N,55.4%,Medium,0.22%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
160,Intersection of Two Linked Lists,/problems/intersection-of-two-linked-lists,N,40.6%,Easy,0.14%,No Topics Found
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.11%,"String, Stack"
136,Single Number,/problems/single-number,N,65.5%,Easy,0.08%,"Array, Bit Manipulation"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.08%,"Array, Binary Search"
240,Search a 2D Matrix II,/problems/search-a-2d-matrix-ii,N,43.2%,Medium,0.05%,"Array, Binary Search, Divide and Conquer, Matrix"
143,Reorder List,/problems/reorder-list,N,37.1%,Medium,0.05%,"Linked List, Two Pointers, Stack, Recursion"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,50.5%,Easy,0.04%,"Array, Dynamic Programming"
256,Paint House,/problems/paint-house,N,52.1%,Easy,0.04%,No Topics Found
15,3Sum,/problems/3sum,N,26.8%,Medium,0.03%,"Array, Two Pointers, Sorting"
287,Find the Duplicate Number,/problems/find-the-duplicate-number,N,55.5%,Medium,0.03%,"Array, Two Pointers, Binary Search, Bit Manipulation"
543,Diameter of Binary Tree,/problems/diameter-of-binary-tree,N,48.4%,Easy,0.03%,"Tree, Depth-First Search, Binary Tree"
1143,Longest Common Subsequence,/problems/longest-common-subsequence,N,58.4%,Medium,0.02%,"String, Dynamic Programming"
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.02%,"String, Stack, Recursion"
76,Minimum Window Substring,/problems/minimum-window-substring,N,34.6%,Hard,0.01%,"Hash Table, String, Sliding Window"
227,Basic Calculator II,/problems/basic-calculator-ii,N,36.9%,Medium,0.01%,"Math, String, Stack"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.00%,"Array, Sorting"
190,Reverse Bits,/problems/reverse-bits,N,39.8%,Easy,0.00%,"Divide and Conquer, Bit Manipulation"
546,Remove Boxes,/problems/remove-boxes,N,42.7%,Hard,0.00%,No Topics Found
625,Minimum Factorization,/problems/minimum-factorization,N,32.8%,Medium,0.00%,No Topics Found
