ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,1.73%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,0.67%,"Array, Binary Search, Divide and Conquer"
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,0.55%,"Array, Two Pointers, Greedy"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,0.32%,"Hash Table, Math, String"
15,3Sum,/problems/3sum,N,32.3%,Medium,0.45%,"Array, Two Pointers, Sorting"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,2.58%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,1.30%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,4.91%,"Linked List, Recursion"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,0.68%,"Array, Binary Search"
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,3.87%,"Array, Hash Table, Backtracking, Matrix"
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,1.64%,"Array, Hash Table"
46,Permutations,/problems/permutations,N,74.9%,Medium,1.12%,"Array, Backtracking"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,0.85%,"Array, Hash Table, String, Sorting"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,1.22%,"Array, Matrix, Simulation"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,0.91%,"Array, Sorting"
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,1.17%,"Math, Dynamic Programming, Combinatorics"
79,Word Search,/problems/word-search,N,39.8%,Medium,8.25%,"Array, String, Backtracking, Matrix"
91,Decode Ways,/problems/decode-ways,N,32.3%,Medium,14.45%,"String, Dynamic Programming"
93,Restore IP Addresses,/problems/restore-ip-addresses,N,43.5%,Medium,15.12%,"String, Backtracking"
124,Binary Tree Maximum Path Sum,/problems/binary-tree-maximum-path-sum,N,38.5%,Hard,1.90%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
131,Palindrome Partitioning,/problems/palindrome-partitioning,N,62.5%,Medium,3.12%,"String, Dynamic Programming, Backtracking"
139,Word Break,/problems/word-break,N,45.5%,Medium,1.57%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,5.44%,"Hash Table, Linked List, Design, Doubly-Linked List"
148,Sort List,/problems/sort-list,N,54.3%,Medium,5.39%,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
163,Missing Ranges,/problems/missing-ranges,Y,32.0%,Easy,8.04%,No Topics Found
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,2.98%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
204,Count Primes,/problems/count-primes,N,33.1%,Medium,6.96%,"Array, Math, Enumeration, Number Theory"
207,Course Schedule,/problems/course-schedule,N,45.4%,Medium,4.56%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
210,Course Schedule II,/problems/course-schedule-ii,N,48.0%,Medium,21.22%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
212,Word Search II,/problems/word-search-ii,N,36.9%,Hard,3.23%,"Array, String, Backtracking, Trie, Matrix"
213,House Robber II,/problems/house-robber-ii,N,40.7%,Medium,4.63%,"Array, Dynamic Programming"
221,Maximal Square,/problems/maximal-square,N,44.6%,Medium,19.30%,"Array, Dynamic Programming, Matrix"
227,Basic Calculator II,/problems/basic-calculator-ii,N,42.2%,Medium,9.95%,"Math, String, Stack"
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,N,58.1%,Medium,1.82%,"Tree, Depth-First Search, Binary Tree"
254,Factor Combinations,/problems/factor-combinations,Y,48.8%,Medium,18.17%,No Topics Found
261,Graph Valid Tree,/problems/graph-valid-tree,Y,46.9%,Medium,5.62%,No Topics Found
286,Walls and Gates,/problems/walls-and-gates,Y,60.3%,Medium,12.50%,No Topics Found
300,Longest Increasing Subsequence,/problems/longest-increasing-subsequence,N,51.6%,Medium,7.26%,"Array, Binary Search, Dynamic Programming"
301,Remove Invalid Parentheses,/problems/remove-invalid-parentheses,N,47.1%,Hard,13.70%,"String, Backtracking, Breadth-First Search"
322,Coin Change,/problems/coin-change,N,41.6%,Medium,20.99%,"Array, Dynamic Programming, Breadth-First Search"
323,Number of Connected Components in an Undirected Graph,/problems/number-of-connected-components-in-an-undirected-graph,Y,62.1%,Medium,11.38%,No Topics Found
