ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,10.89%,"Hash Table, String, Backtracking"
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,8.50%,"Array, Divide and Conquer, Dynamic Programming"
68,Text Justification,/problems/text-justification,N,36.8%,Hard,100.00%,"Array, String, Simulation"
127,Word Ladder,/problems/word-ladder,N,36.7%,Hard,13.85%,"Hash Table, String, Breadth-First Search"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,22.26%,"Hash Table, Linked List, Design, Doubly-Linked List"
359,Logger Rate Limiter,/problems/logger-rate-limiter,Y,75.5%,Easy,31.83%,No Topics Found
1636,Sort Array by Increasing Frequency,/problems/sort-array-by-increasing-frequency,N,68.7%,Easy,65.92%,"Array, Hash Table, Sorting"
974,Subarray Sums Divisible by K,/problems/subarray-sums-divisible-by-k,N,48.9%,Medium,1.88%,"Array, Hash Table, Prefix Sum"
935,Knight Dialer,/problems/knight-dialer,N,45.2%,Medium,0.34%,Dynamic Programming
332,Reconstruct Itinerary,/problems/reconstruct-itinerary,N,36.7%,Medium,0.25%,"Depth-First Search, Graph, Eulerian Circuit"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.09%,"String, Stack"
225,Implement Stack using Queues,/problems/implement-stack-using-queues,N,45.1%,Easy,0.04%,"Stack, Design, Queue"
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,43.9%,Medium,0.03%,"Array, Hash Table, Prefix Sum"
532,K-diff Pairs in an Array,/problems/k-diff-pairs-in-an-array,N,31.6%,Easy,0.02%,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
139,Word Break,/problems/word-break,N,40.1%,Medium,0.02%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,47.5%,Medium,0.01%,"Array, Hash Table, Math, Design, Randomized"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.01%,"Array, Hash Table, String, Sorting"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.01%,"Array, Hash Table"
14,Longest Common Prefix,/problems/longest-common-prefix,N,35.4%,Easy,0.00%,"String, Trie"
965,Univalued Binary Tree,/problems/univalued-binary-tree,N,67.7%,Easy,0.00%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
1507,Reformat Date,/problems/reformat-date,N,60.5%,Easy,0.00%,String
