ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
68,Text Justification,/problems/text-justification,N,36.8%,Hard,100.00%,"Array, String, Simulation"
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,46.6%,Hard,37.55%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,52.0%,Medium,62.45%,"Array, Hash Table, Math, Design, Randomized"
433,Minimum Genetic Mutation,/problems/minimum-genetic-mutation,N,41.8%,Medium,3.64%,"Hash Table, String, Breadth-First Search"
635,Design Log Storage System,/problems/design-log-storage-system,N,58.6%,Medium,2.70%,No Topics Found
780,Reaching Points,/problems/reaching-points,N,29.4%,Hard,1.75%,Math
341,Flatten Nested List Iterator,/problems/flatten-nested-list-iterator,N,52.9%,Medium,1.71%,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
256,Paint House,/problems/paint-house,N,52.1%,Easy,1.69%,No Topics Found
296,Best Meeting Point,/problems/best-meeting-point,N,57.5%,Hard,1.66%,No Topics Found
57,Insert Interval,/problems/insert-interval,N,33.5%,Hard,1.28%,Array
608,Tree Node,/problems/tree-node,N,67.1%,Medium,1.20%,Database
355,Design Twitter,/problems/design-twitter,N,30.3%,Medium,1.15%,"Hash Table, Linked List, Design, Heap (Priority Queue)"
269,Alien Dictionary,/problems/alien-dictionary,N,33.3%,Hard,1.10%,No Topics Found
468,Validate IP Address,/problems/validate-ip-address,N,24.1%,Medium,1.09%,String
585,Investments in 2016,/problems/investments-in-2016,N,54.7%,Medium,0.92%,Database
647,Palindromic Substrings,/problems/palindromic-substrings,N,60.6%,Medium,0.77%,"Two Pointers, String, Dynamic Programming"
679,24 Game,/problems/24-game,N,46.4%,Hard,0.75%,"Array, Math, Backtracking"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.68%,"String, Stack"
831,Masking Personal Information,/problems/masking-personal-information,N,44.1%,Medium,0.57%,No Topics Found
920,Number of Music Playlists,/problems/number-of-music-playlists,N,46.5%,Hard,0.56%,"Math, Dynamic Programming, Combinatorics"
547,Friend Circles,/problems/friend-circles,N,58.6%,Medium,0.53%,"Depth-First Search, Breadth-First Search, Union Find, Graph"
580,Count Student Number in Departments,/problems/count-student-number-in-departments,N,48.7%,Medium,0.49%,No Topics Found
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.38%,"Hash Table, Linked List, Design, Doubly-Linked List"
161,One Edit Distance,/problems/one-edit-distance,N,32.3%,Medium,0.37%,No Topics Found
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.35%,"Array, Sorting"
295,Find Median from Data Stream,/problems/find-median-from-data-stream,N,44.3%,Hard,0.32%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
307,Range Sum Query - Mutable,/problems/range-sum-query-mutable,N,34.6%,Medium,0.31%,"Array, Design, Binary Indexed Tree, Segment Tree"
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.30%,No Topics Found
1326,Minimum Number of Taps to Open to Water a Garden,/problems/minimum-number-of-taps-to-open-to-water-a-garden,N,43.6%,Hard,0.28%,"Array, Dynamic Programming, Greedy"
218,The Skyline Problem,/problems/the-skyline-problem,N,34.6%,Hard,0.27%,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
945,Minimum Increment to Make Array Unique,/problems/minimum-increment-to-make-array-unique,N,46.3%,Medium,0.27%,"Array, Greedy, Sorting, Counting"
149,Max Points on a Line,/problems/max-points-on-a-line,N,16.9%,Hard,0.27%,"Array, Hash Table, Math, Geometry"
10,Regular Expression Matching,/problems/regular-expression-matching,N,26.8%,Hard,0.27%,"String, Dynamic Programming, Recursion"
1348,Tweet Counts Per Frequency,/problems/tweet-counts-per-frequency,N,29.0%,Medium,0.25%,"Hash Table, Binary Search, Design, Sorting, Ordered Set"
251,Flatten 2D Vector,/problems/flatten-2d-vector,N,45.7%,Medium,0.24%,No Topics Found
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.21%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
532,K-diff Pairs in an Array,/problems/k-diff-pairs-in-an-array,N,31.6%,Easy,0.21%,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
139,Word Break,/problems/word-break,N,40.1%,Medium,0.20%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
706,Design HashMap,/problems/design-hashmap,N,61.3%,Easy,0.20%,"Array, Hash Table, Linked List, Design, Hash Function"
133,Clone Graph,/problems/clone-graph,N,34.8%,Medium,0.15%,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
