ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,2.23%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,2.74%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,2.64%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,5.84%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,3.65%,"Two Pointers, String, Dynamic Programming"
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,0.47%,No Topics Found
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,0.44%,"Array, Two Pointers, Greedy"
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,0.57%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,2.04%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,2.14%,"Array, Two Pointers, Sorting"
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,1.38%,No Topics Found
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,5.26%,"Hash Table, String, Backtracking"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,0.98%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,1.16%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,3.55%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,3.89%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,0.37%,"Array, Two Pointers"
27,Remove Element,/problems/remove-element,N,52.2%,Easy,0.54%,"Array, Two Pointers"
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,1.08%,"Math, Bit Manipulation"
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,4.46%,"Array, Two Pointers"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,0.54%,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,6.34%,"Array, Binary Search"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,0.41%,"Array, Binary Search"
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,5.55%,"Array, Hash Table, Matrix"
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,3.09%,"Array, Hash Table, Backtracking, Matrix"
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,5.90%,String
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,3.44%,No Topics Found
