ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,1.00%,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,2.35%,"Hash Table, String, Sliding Window"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,4.59%,"Two Pointers, String, Dynamic Programming"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,3.60%,"String, Trie"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,3.06%,"Linked List, Recursion"
70,Climbing Stairs,/problems/climbing-stairs,N,51.8%,Easy,3.87%,"Math, Dynamic Programming, Memoization"
74,Search a 2D Matrix,/problems/search-a-2d-matrix,N,47.0%,Medium,7.69%,"Array, Binary Search, Matrix"
383,Ransom Note,/problems/ransom-note,N,57.6%,Easy,10.72%,"Hash Table, String, Counting"
437,Path Sum III,/problems/path-sum-iii,N,48.7%,Medium,59.92%,"Tree, Depth-First Search, Binary Tree"
468,Validate IP Address,/problems/validate-ip-address,N,26.5%,Medium,100.00%,String
931,Minimum Falling Path Sum,/problems/minimum-falling-path-sum,N,68.5%,Medium,49.77%,No Topics Found
1356,Sort Integers by The Number of 1 Bits,/problems/sort-integers-by-the-number-of-1-bits,N,72.0%,Easy,60.95%,"Array, Bit Manipulation, Sorting, Counting"
829,Consecutive Numbers Sum,/problems/consecutive-numbers-sum,N,37.5%,Hard,0.42%,"Math, Enumeration"
761,Special Binary String,/problems/special-binary-string,N,54.7%,Hard,0.30%,"String, Recursion"
1353,Maximum Number of Events That Can Be Attended,/problems/maximum-number-of-events-that-can-be-attended,N,30.5%,Medium,0.30%,"Array, Greedy, Sorting, Heap (Priority Queue)"
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.17%,No Topics Found
54,Spiral Matrix,/problems/spiral-matrix,N,34.1%,Medium,0.13%,"Array, Matrix, Simulation"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.11%,"String, Stack"
735,Asteroid Collision,/problems/asteroid-collision,N,41.0%,Medium,0.10%,"Array, Stack, Simulation"
377,Combination Sum IV,/problems/combination-sum-iv,N,45.3%,Medium,0.08%,"Array, Dynamic Programming"
697,Degree of an Array,/problems/degree-of-an-array,N,53.8%,Easy,0.07%,
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,27.8%,Medium,0.06%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.06%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
362,Design Hit Counter,/problems/design-hit-counter,N,63.7%,Medium,0.06%,No Topics Found
253,Meeting Rooms II,/problems/meeting-rooms-ii,N,45.7%,Medium,0.05%,No Topics Found
1010,Pairs of Songs With Total Durations Divisible by 60,/problems/pairs-of-songs-with-total-durations-divisible-by-60,N,47.4%,Easy,0.04%,"Array, Hash Table, Counting"
76,Minimum Window Substring,/problems/minimum-window-substring,N,34.6%,Hard,0.04%,"Hash Table, String, Sliding Window"
238,Product of Array Except Self,/problems/product-of-array-except-self,N,60.1%,Medium,0.03%,"Array, Prefix Sum"
15,3Sum,/problems/3sum,N,26.8%,Medium,0.03%,"Array, Two Pointers, Sorting"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.03%,"Array, Binary Search, Divide and Conquer"
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,N,45.7%,Medium,0.03%,"Tree, Depth-First Search, Binary Tree"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.03%,"Hash Table, Linked List, Design, Doubly-Linked List"
273,Integer to English Words,/problems/integer-to-english-words,N,27.1%,Hard,0.03%,"Math, String, Recursion"
322,Coin Change,/problems/coin-change,N,35.5%,Medium,0.02%,"Array, Dynamic Programming, Breadth-First Search"
138,Copy List with Random Pointer,/problems/copy-list-with-random-pointer,N,36.4%,Medium,0.02%,"Hash Table, Linked List"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.02%,"Array, Hash Table, String, Sorting"
53,Maximum Subarray,/problems/maximum-subarray,N,46.5%,Easy,0.02%,"Array, Divide and Conquer, Dynamic Programming"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.01%,"Linked List, Recursion"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.01%,"Array, Binary Search"
155,Min Stack,/problems/min-stack,N,44.5%,Easy,0.01%,"Stack, Design"
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,47.5%,Medium,0.01%,"Array, Hash Table, Math, Design, Randomized"
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,36.2%,Medium,0.01%,"Array, Binary Search"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,50.5%,Easy,0.01%,"Array, Dynamic Programming"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.01%,"Array, Sorting"
973,K Closest Points to Origin,/problems/k-closest-points-to-origin,N,63.8%,Medium,0.01%,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
101,Symmetric Tree,/problems/symmetric-tree,N,46.8%,Easy,0.00%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
1025,Divisor Game,/problems/divisor-game,N,66.3%,Easy,0.00%,"Math, Dynamic Programming, Brainteaser, Game Theory"
1389,Create Target Array in the Given Order,/problems/create-target-array-in-the-given-order,N,84.2%,Easy,0.00%,"Array, Simulation"
