ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,3.93%,"Array, Sorting"
75,Sort Colors,/problems/sort-colors,N,57.4%,Medium,1.90%,"Array, Two Pointers, Sorting"
200,Number of Islands,/problems/number-of-islands,N,56.4%,Medium,1.41%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,46.6%,Hard,3.09%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
460,LFU Cache,/problems/lfu-cache,N,40.4%,Hard,18.84%,"Hash Table, Linked List, Design, Doubly-Linked List"
697,Degree of an Array,/problems/degree-of-an-array,N,55.9%,Easy,20.09%,
706,Design HashMap,/problems/design-hashmap,N,65.0%,Easy,9.94%,"Array, Hash Table, Linked List, Design, Hash Function"
1000,Minimum Cost to Merge Stones,/problems/minimum-cost-to-merge-stones,N,42.3%,Hard,60.04%,"Array, Dynamic Programming, Prefix Sum"
1356,Sort Integers by The Number of 1 Bits,/problems/sort-integers-by-the-number-of-1-bits,N,72.0%,Easy,16.20%,"Array, Bit Manipulation, Sorting, Counting"
1611,Minimum One Bit Operations to Make Integers Zero,/problems/minimum-one-bit-operations-to-make-integers-zero,N,63.3%,Hard,100.00%,"Dynamic Programming, Bit Manipulation, Memoization"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.41%,"Hash Table, Linked List, Design, Doubly-Linked List"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.35%,"String, Stack"
37,Sudoku Solver,/problems/sudoku-solver,N,43.6%,Hard,0.33%,"Array, Hash Table, Backtracking, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.30%,"Array, Hash Table, String, Sorting"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.27%,"Array, Binary Search, Divide and Conquer"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,34.5%,Medium,0.26%,"Array, Binary Search"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.25%,"Array, Hash Table"
97,Interleaving String,/problems/interleaving-string,N,31.5%,Hard,0.23%,"String, Dynamic Programming"
93,Restore IP Addresses,/problems/restore-ip-addresses,N,35.6%,Medium,0.22%,"String, Backtracking"
1048,Longest String Chain,/problems/longest-string-chain,N,54.7%,Medium,0.21%,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
85,Maximal Rectangle,/problems/maximal-rectangle,N,37.7%,Hard,0.15%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
221,Maximal Square,/problems/maximal-square,N,37.7%,Medium,0.15%,"Array, Dynamic Programming, Matrix"
76,Minimum Window Substring,/problems/minimum-window-substring,N,34.6%,Hard,0.15%,"Hash Table, String, Sliding Window"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.14%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
322,Coin Change,/problems/coin-change,N,35.5%,Medium,0.14%,"Array, Dynamic Programming, Breadth-First Search"
1328,Break a Palindrome,/problems/break-a-palindrome,N,43.3%,Medium,0.13%,"String, Greedy"
