ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
139,Word Break,/problems/word-break,N,45.5%,Medium,50.00%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
436,Find Right Interval,/problems/find-right-interval,N,50.3%,Medium,100.00%,"Array, Binary Search, Sorting"
845,Longest Mountain in Array,/problems/longest-mountain-in-array,N,37.2%,Medium,0.24%,"Array, Two Pointers, Dynamic Programming, Enumeration"
900,RLE Iterator,/problems/rle-iterator,N,53.5%,Medium,0.19%,"Array, Design, Counting, Iterator"
388,Longest Absolute File Path,/problems/longest-absolute-file-path,N,41.8%,Medium,0.18%,"String, Stack, Depth-First Search"
528,Random Pick with Weight,/problems/random-pick-with-weight,N,43.9%,Medium,0.17%,"Array, Math, Binary Search, Prefix Sum, Randomized"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.16%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.10%,No Topics Found
314,Binary Tree Vertical Order Traversal,/problems/binary-tree-vertical-order-traversal,N,45.3%,Medium,0.07%,No Topics Found
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.06%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
96,Unique Binary Search Trees,/problems/unique-binary-search-trees,N,52.9%,Medium,0.06%,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
616,Add Bold Tag in String,/problems/add-bold-tag-in-string,N,43.1%,Medium,0.05%,No Topics Found
695,Max Area of Island,/problems/max-area-of-island,N,62.7%,Medium,0.05%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
48,Rotate Image,/problems/rotate-image,N,56.7%,Medium,0.04%,"Array, Math, Matrix"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.04%,"Array, Sorting"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.04%,"Hash Table, Linked List, Design, Doubly-Linked List"
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,43.0%,Hard,0.03%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
64,Minimum Path Sum,/problems/minimum-path-sum,N,54.5%,Medium,0.02%,"Array, Dynamic Programming, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.02%,"Array, Hash Table, String, Sorting"
128,Longest Consecutive Sequence,/problems/longest-consecutive-sequence,N,45.1%,Hard,0.02%,"Array, Hash Table, Union Find"
155,Min Stack,/problems/min-stack,N,44.5%,Easy,0.02%,"Stack, Design"
37,Sudoku Solver,/problems/sudoku-solver,N,43.6%,Hard,0.02%,"Array, Hash Table, Backtracking, Matrix"
6,ZigZag Conversion,/problems/zigzag-conversion,N,36.3%,Medium,0.02%,String
340,Longest Substring with At Most K Distinct Characters,/problems/longest-substring-with-at-most-k-distinct-characters,N,44.1%,Hard,0.02%,No Topics Found
153,Find Minimum in Rotated Sorted Array,/problems/find-minimum-in-rotated-sorted-array,N,45.1%,Medium,0.01%,"Array, Binary Search"
41,First Missing Positive,/problems/first-missing-positive,N,32.0%,Hard,0.01%,"Array, Hash Table"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.01%,"Array, Hash Table"
172,Factorial Trailing Zeroes,/problems/factorial-trailing-zeroes,N,37.8%,Easy,0.01%,Math
125,Valid Palindrome,/problems/valid-palindrome,N,36.7%,Easy,0.01%,"Two Pointers, String"
207,Course Schedule,/problems/course-schedule,N,43.1%,Medium,0.00%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,43.9%,Medium,0.00%,"Array, Hash Table, Prefix Sum"
2,Add Two Numbers,/problems/add-two-numbers,N,33.9%,Medium,0.00%,"Linked List, Math, Recursion"
781,Rabbits in Forest,/problems/rabbits-in-forest,N,54.5%,Medium,0.00%,"Array, Hash Table, Math, Greedy"
1193,Monthly Transactions I,/problems/monthly-transactions-i,N,68.3%,Medium,0.00%,Database
1205,Monthly Transactions II,/problems/monthly-transactions-ii,N,45.0%,Medium,0.00%,No Topics Found
