ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,1.86%,"Array, Hash Table"
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,1.03%,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,1.63%,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,6.66%,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,5.43%,"Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,16.29%,String
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,7.06%,"Hash Table, Math, String"
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,2.43%,"String, Trie"
15,3Sum,/problems/3sum,N,32.3%,Medium,2.55%,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,1.66%,"Linked List, Two Pointers"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,1.79%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,0.94%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,3.01%,"String, Dynamic Programming, Backtracking"
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,2.95%,"Two Pointers, String, String Matching"
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,1.73%,"Array, Binary Search"
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,1.31%,"Array, Binary Search"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,2.92%,No Topics Found
46,Permutations,/problems/permutations,N,74.9%,Medium,2.86%,"Array, Backtracking"
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,2.76%,"Array, Math, Matrix"
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,4.83%,"Array, Hash Table, String, Sorting"
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,10.25%,"Math, Recursion"
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,3.13%,"Array, Matrix, Simulation"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,8.87%,"Array, Sorting"
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,6.58%,"Math, Dynamic Programming, Combinatorics"
75,Sort Colors,/problems/sort-colors,N,57.4%,Medium,2.50%,"Array, Two Pointers, Sorting"
77,Combinations,/problems/combinations,N,66.2%,Medium,8.34%,Backtracking
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,1.63%,"Array, Two Pointers, Sorting"
90,Subsets II,/problems/subsets-ii,N,55.4%,Medium,5.98%,"Array, Backtracking, Bit Manipulation"
92,Reverse Linked List II,/problems/reverse-linked-list-ii,N,45.4%,Medium,8.32%,Linked List
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,3.93%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
121,Best Time to Buy and Sell Stock,/problems/best-time-to-buy-and-sell-stock,N,54.4%,Easy,1.99%,"Array, Dynamic Programming"
130,Surrounded Regions,/problems/surrounded-regions,N,36.1%,Medium,7.74%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
132,Palindrome Partitioning II,/problems/palindrome-partitioning-ii,N,33.6%,Hard,20.02%,"String, Dynamic Programming"
136,Single Number,/problems/single-number,N,70.1%,Easy,1.68%,"Array, Bit Manipulation"
146,LRU Cache,/problems/lru-cache,N,40.5%,Medium,3.74%,"Hash Table, Linked List, Design, Doubly-Linked List"
152,Maximum Product Subarray,/problems/maximum-product-subarray,N,34.9%,Medium,3.18%,"Array, Dynamic Programming"
167,Two Sum II - Input Array Is Sorted,/problems/two-sum-ii-input-array-is-sorted,N,60.0%,Medium,5.72%,"Array, Two Pointers, Binary Search"
189,Rotate Array,/problems/rotate-array,N,39.2%,Medium,4.99%,"Array, Math, Two Pointers"
198,House Robber,/problems/house-robber,N,48.8%,Medium,2.37%,"Array, Dynamic Programming"
202,Happy Number,/problems/happy-number,N,54.4%,Easy,2.04%,"Hash Table, Math, Two Pointers"
217,Contains Duplicate,/problems/contains-duplicate,N,61.3%,Easy,2.15%,"Array, Hash Table, Sorting"
226,Invert Binary Tree,/problems/invert-binary-tree,N,73.3%,Easy,2.20%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
234,Palindrome Linked List,/problems/palindrome-linked-list,N,49.6%,Easy,4.82%,No Topics Found
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,N,58.1%,Medium,4.66%,"Tree, Depth-First Search, Binary Tree"
242,Valid Anagram,/problems/valid-anagram,N,62.8%,Easy,3.01%,"Hash Table, String, Sorting"
287,Find the Duplicate Number,/problems/find-the-duplicate-number,N,59.1%,Medium,3.02%,"Array, Two Pointers, Binary Search, Bit Manipulation"
345,Reverse Vowels of a String,/problems/reverse-vowels-of-a-string,N,49.7%,Easy,8.36%,"Two Pointers, String"
347,Top K Frequent Elements,/problems/top-k-frequent-elements,N,64.8%,Medium,2.76%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
348,Design Tic-Tac-Toe,/problems/design-tic-tac-toe,Y,57.6%,Medium,38.87%,No Topics Found
355,Design Twitter,/problems/design-twitter,N,36.8%,Medium,26.16%,"Hash Table, Linked List, Design, Heap (Priority Queue)"
362,Design Hit Counter,/problems/design-hit-counter,Y,68.4%,Medium,26.64%,No Topics Found
394,Decode String,/problems/decode-string,N,57.6%,Medium,5.94%,"String, Stack, Recursion"
424,Longest Repeating Character Replacement,/problems/longest-repeating-character-replacement,N,51.5%,Medium,9.19%,"Hash Table, String, Sliding Window"
443,String Compression,/problems/string-compression,N,48.9%,Medium,14.45%,"Two Pointers, String"
539,Minimum Time Difference,/problems/minimum-time-difference,N,56.3%,Medium,51.50%,"Array, Math, String, Sorting"
595,Big Countries,/problems/big-countries,N,73.3%,Easy,2.49%,Database
678,Valid Parenthesis String,/problems/valid-parenthesis-string,N,33.9%,Medium,20.59%,"String, Dynamic Programming, Stack, Greedy"
692,Top K Frequent Words,/problems/top-k-frequent-words,N,56.9%,Medium,44.76%,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
695,Max Area of Island,/problems/max-area-of-island,N,71.7%,Medium,5.75%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
704,Binary Search,/problems/binary-search,N,55.1%,Easy,1.25%,"Array, Binary Search"
835,Image Overlap,/problems/image-overlap,N,64.0%,Medium,68.11%,"Array, Matrix"
863,All Nodes Distance K in Binary Tree,/problems/all-nodes-distance-k-in-binary-tree,N,62.1%,Medium,14.67%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
967,Numbers With Same Consecutive Differences,/problems/numbers-with-same-consecutive-differences,N,57.1%,Medium,41.71%,"Backtracking, Breadth-First Search"
977,Squares of a Sorted Array,/problems/squares-of-a-sorted-array,N,71.9%,Easy,9.52%,"Array, Two Pointers, Sorting"
1047,Remove All Adjacent Duplicates In String,/problems/remove-all-adjacent-duplicates-in-string,N,70.4%,Easy,8.11%,"String, Stack"
1207,Unique Number of Occurrences,/problems/unique-number-of-occurrences,N,70.9%,Easy,10.35%,"Array, Hash Table"
1307,Verbal Arithmetic Puzzle,/problems/verbal-arithmetic-puzzle,N,34.8%,Hard,100.00%,"Array, Math, String, Backtracking"
1351,Count Negative Numbers in a Sorted Matrix,/problems/count-negative-numbers-in-a-sorted-matrix,N,75.2%,Easy,12.92%,"Array, Binary Search, Matrix"
2023,Number of Pairs of Strings With Concatenation Equal to Target,/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target,N,72.9%,Medium,84.71%,"Array, Hash Table, String, Counting"
479,Largest Palindrome Product,/problems/largest-palindrome-product,N,29.0%,Hard,0.80%,"Math, Enumeration"
384,Shuffle an Array,/problems/shuffle-an-array,N,52.8%,Medium,0.49%,No Topics Found
387,First Unique Character in a String,/problems/first-unique-character-in-a-string,N,53.4%,Easy,0.49%,"Hash Table, String, Queue, Counting"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.44%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
