ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1,Two Sum,/problems/two-sum,N,49.1%,Easy,0.16%,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,3.31%,"Hash Table, String, Sliding Window"
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,0.94%,"String, Stack"
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,0.49%,"Linked List, Recursion"
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,1.53%,No Topics Found
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,9.25%,"Array, Hash Table, String, Sorting"
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,2.69%,"Array, Sorting"
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,5.26%,"Hash Table, String, Sliding Window"
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,6.51%,"Tree, Breadth-First Search, Binary Tree"
125,Valid Palindrome,/problems/valid-palindrome,N,43.7%,Easy,0.78%,"Two Pointers, String"
136,Single Number,/problems/single-number,N,70.1%,Easy,1.96%,"Array, Bit Manipulation"
161,One Edit Distance,/problems/one-edit-distance,Y,34.1%,Medium,50.29%,No Topics Found
228,Summary Ranges,/problems/summary-ranges,N,46.9%,Easy,70.97%,Array
242,Valid Anagram,/problems/valid-anagram,N,62.8%,Easy,0.71%,"Hash Table, String, Sorting"
283,Move Zeroes,/problems/move-zeroes,N,61.4%,Easy,15.93%,"Array, Two Pointers"
356,Line Reflection,/problems/line-reflection,Y,34.7%,Medium,98.95%,No Topics Found
392,Is Subsequence,/problems/is-subsequence,N,49.0%,Easy,1.13%,"Two Pointers, String, Dynamic Programming"
438,Find All Anagrams in a String,/problems/find-all-anagrams-in-a-string,N,49.0%,Medium,10.83%,"Hash Table, String, Sliding Window"
443,String Compression,/problems/string-compression,N,48.9%,Medium,24.09%,"Two Pointers, String"
487,Max Consecutive Ones II,/problems/max-consecutive-ones-ii,Y,49.6%,Medium,19.09%,No Topics Found
557,Reverse Words in a String III,/problems/reverse-words-in-a-string-iii,N,81.6%,Easy,3.08%,"Two Pointers, String"
560,Subarray Sum Equals K,/problems/subarray-sum-equals-k,N,44.0%,Medium,8.15%,"Array, Hash Table, Prefix Sum"
567,Permutation in String,/problems/permutation-in-string,N,43.7%,Medium,23.88%,"Hash Table, Two Pointers, String, Sliding Window"
849,Maximize Distance to Closest Person,/problems/maximize-distance-to-closest-person,N,47.6%,Medium,100.00%,Array
977,Squares of a Sorted Array,/problems/squares-of-a-sorted-array,N,71.9%,Easy,2.89%,"Array, Two Pointers, Sorting"
1493,Longest Subarray of 1's After Deleting One Element,/problems/longest-subarray-of-1s-after-deleting-one-element,N,60.2%,Medium,72.75%,"Array, Dynamic Programming, Sliding Window"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.46%,"Hash Table, Linked List, Design, Doubly-Linked List"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.44%,"Linked List, Recursion"
22,Generate Parentheses,/problems/generate-parentheses,N,62.7%,Medium,0.38%,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,40.2%,Hard,0.25%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
281,Zigzag Iterator,/problems/zigzag-iterator,N,58.4%,Medium,0.23%,No Topics Found
