ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",/problems/filter-restaurants-by-vegan-friendly-price-and-distance,N,59.6%,Medium,100.00%,"Array, Sorting"
1436,Destination City,/problems/destination-city,N,77.6%,Easy,50.00%,No Topics Found
599,Minimum Index Sum of Two Lists,/problems/minimum-index-sum-of-two-lists,N,50.7%,Easy,2.31%,"Array, Hash Table, String"
564,Find the Closest Palindrome,/problems/find-the-closest-palindrome,N,19.7%,Hard,1.69%,"Math, String"
273,Integer to English Words,/problems/integer-to-english-words,N,27.1%,Hard,1.06%,"Math, String, Recursion"
332,Reconstruct Itinerary,/problems/reconstruct-itinerary,N,36.7%,Medium,1.04%,"Depth-First Search, Graph, Eulerian Circuit"
355,Design Twitter,/problems/design-twitter,N,30.3%,Medium,1.03%,"Hash Table, Linked List, Design, Heap (Priority Queue)"
56,Merge Intervals,/problems/merge-intervals,N,39.3%,Medium,0.99%,"Array, Sorting"
49,Group Anagrams,/problems/group-anagrams,N,56.9%,Medium,0.44%,"Array, Hash Table, String, Sorting"
692,Top K Frequent Words,/problems/top-k-frequent-words,N,51.8%,Medium,0.44%,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
139,Word Break,/problems/word-break,N,40.1%,Medium,0.36%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
218,The Skyline Problem,/problems/the-skyline-problem,N,34.6%,Hard,0.35%,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
347,Top K Frequent Elements,/problems/top-k-frequent-elements,N,61.2%,Medium,0.34%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
1126,Active Businesses,/problems/active-businesses,N,68.5%,Medium,0.32%,No Topics Found
528,Random Pick with Weight,/problems/random-pick-with-weight,N,43.9%,Medium,0.32%,"Array, Math, Binary Search, Prefix Sum, Randomized"
253,Meeting Rooms II,/problems/meeting-rooms-ii,N,45.7%,Medium,0.29%,No Topics Found
127,Word Ladder,/problems/word-ladder,N,29.6%,Medium,0.29%,"Hash Table, String, Breadth-First Search"
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,30.4%,Medium,0.20%,"Hash Table, String, Sliding Window"
14,Longest Common Prefix,/problems/longest-common-prefix,N,35.4%,Easy,0.17%,"String, Trie"
205,Isomorphic Strings,/problems/isomorphic-strings,N,39.8%,Easy,0.17%,"Hash Table, String"
126,Word Ladder II,/problems/word-ladder-ii,N,22.1%,Hard,0.15%,"Hash Table, String, Backtracking, Breadth-First Search"
1,Two Sum,/problems/two-sum,N,45.6%,Easy,0.14%,"Array, Hash Table"
22,Generate Parentheses,/problems/generate-parentheses,N,62.7%,Medium,0.12%,"String, Dynamic Programming, Backtracking"
207,Course Schedule,/problems/course-schedule,N,43.1%,Medium,0.12%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
192,Word Frequency,/problems/word-frequency,N,25.8%,Medium,0.10%,Shell
380,Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,N,47.5%,Medium,0.09%,"Array, Hash Table, Math, Design, Randomized"
784,Letter Case Permutation,/problems/letter-case-permutation,N,64.6%,Medium,0.08%,"String, Backtracking, Bit Manipulation"
39,Combination Sum,/problems/combination-sum,N,56.1%,Medium,0.05%,"Array, Backtracking"
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,43.0%,Hard,0.03%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.02%,"Linked List, Recursion"
349,Intersection of Two Arrays,/problems/intersection-of-two-arrays,N,62.5%,Easy,0.02%,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
242,Valid Anagram,/problems/valid-anagram,N,56.9%,Easy,0.01%,"Hash Table, String, Sorting"
394,Decode String,/problems/decode-string,N,50.0%,Medium,0.01%,"String, Stack, Recursion"
151,Reverse Words in a String,/problems/reverse-words-in-a-string,N,21.9%,Medium,0.00%,"Two Pointers, String"
381,Insert Delete GetRandom O(1) - Duplicates allowed,/problems/insert-delete-getrandom-o1-duplicates-allowed,N,34.1%,Hard,0.00%,"Array, Hash Table, Math, Design, Randomized"
443,String Compression,/problems/string-compression,N,41.3%,Easy,0.00%,"Two Pointers, String"
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,N,64.6%,Easy,0.00%,"Two Pointers, String, String Matching"
