ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,100.00%,"Linked List, Recursion"
42,Trapping Rain Water,/problems/trapping-rain-water,N,48.9%,Hard,0.21%,No Topics Found
52,N-Queens II,/problems/n-queens-ii,N,57.9%,Hard,0.20%,Backtracking
255,Verify Preorder Sequence in Binary Search Tree,/problems/verify-preorder-sequence-in-binary-search-tree,N,45.7%,Medium,0.13%,
251,Flatten 2D Vector,/problems/flatten-2d-vector,N,45.7%,Medium,0.07%,No Topics Found
317,Shortest Distance from All Buildings,/problems/shortest-distance-from-all-buildings,N,41.4%,Hard,0.04%,No Topics Found
109,Convert Sorted List to Binary Search Tree,/problems/convert-sorted-list-to-binary-search-tree,N,47.7%,Medium,0.03%,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
206,Reverse Linked List,/problems/reverse-linked-list,N,62.5%,Easy,0.02%,"Linked List, Recursion"
146,LRU Cache,/problems/lru-cache,N,33.2%,Medium,0.02%,"Hash Table, Linked List, Design, Doubly-Linked List"
20,Valid Parentheses,/problems/valid-parentheses,N,39.0%,Easy,0.01%,"String, Stack"
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,29.6%,Hard,0.01%,"Array, Binary Search, Divide and Conquer"
210,Course Schedule II,/problems/course-schedule-ii,N,40.7%,Medium,0.01%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
200,Number of Islands,/problems/number-of-islands,N,46.8%,Medium,0.01%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
22,Generate Parentheses,/problems/generate-parentheses,N,62.7%,Medium,0.00%,"String, Dynamic Programming, Backtracking"
125,Valid Palindrome,/problems/valid-palindrome,N,36.7%,Easy,0.00%,"Two Pointers, String"
155,Min Stack,/problems/min-stack,N,44.5%,Easy,0.00%,"Stack, Design"
168,Excel Sheet Column Title,/problems/excel-sheet-column-title,N,31.1%,Easy,0.00%,"Math, String"
169,Majority Element,/problems/majority-element,N,58.7%,Easy,0.00%,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
207,Course Schedule,/problems/course-schedule,N,43.1%,Medium,0.00%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
229,Majority Element II,/problems/majority-element-ii,N,35.6%,Medium,0.00%,No Topics Found
239,Sliding Window Maximum,/problems/sliding-window-maximum,N,43.0%,Hard,0.00%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
261,Graph Valid Tree,/problems/graph-valid-tree,N,42.2%,Medium,0.00%,No Topics Found
